sample	reference	decile	start_0based	end_exclusive	covered_fraction	mean_depth	read_starts
AL	AL	1	0	400	0.9825	25.37	83
AL	AL	2	400	801	1.0	26.7356608478803	66
AL	AL	3	801	1202	1.0	35.48628428927681	104
AL	AL	4	1202	1603	1.0	38.13965087281795	110
AL	AL	5	1603	2004	1.0	39.27930174563591	105
AL	AL	6	2004	2404	1.0	59.7325	158
AL	AL	7	2404	2805	1.0	40.49376558603491	105
AL	AL	8	2805	3206	1.0	48.084788029925186	142
AL	AL	9	3206	3607	1.0	64.6708229426434	169
AL	AL	10	3607	4008	1.0	54.98254364089775	119
AD	AL	1	0	400	0.6525	1.48	4
AD	AL	2	400	801	0.8254364089775561	1.4962593516209477	4
AD	AL	3	801	1202	0.4513715710723192	1.1221945137157108	3
AD	AL	4	1202	1603	0.8254364089775561	1.4962593516209477	4
AD	AL	5	1603	2004	0.7930174563591023	1.5885286783042394	7
AD	AL	6	2004	2404	1.0	2.955	6
AD	AL	7	2404	2805	0.6359102244389028	1.2344139650872819	5
AD	AL	8	2805	3206	1.0	3.5037406483790523	7
AD	AL	9	3206	3607	1.0	2.311720698254364	7
AD	AL	10	3607	4008	1.0	2.9551122194513715	7
AL	AD	1	0	399	0.9824561403508771	25.360902255639097	83
AL	AD	2	399	799	1.0	26.76	66
AL	AD	3	799	1199	1.0	35.03	102
AL	AD	4	1199	1599	1.0	38.2725	112
AL	AD	5	1599	1999	1.0	39.42	107
AL	AD	6	1999	2399	1.0	59.435	156
AL	AD	7	2399	2799	1.0	39.8475	103
AL	AD	8	2799	3199	1.0	48.1125	141
AL	AD	9	3199	3599	1.0	64.51	169
AL	AD	10	3599	3999	1.0	54.965	119
AD	AD	1	0	399	0.6541353383458647	1.4837092731829573	4
AD	AD	2	399	799	0.8275	1.5	4
AD	AD	3	799	1199	0.4525	1.125	3
AD	AD	4	1199	1599	0.8275	1.5	4
AD	AD	5	1599	1999	0.805	1.6425	7
AD	AD	6	1999	2399	1.0	2.94	6
AD	AD	7	2399	2799	0.635	1.2475	5
AD	AD	8	2799	3199	1.0	3.4875	7
AD	AD	9	3199	3599	1.0	2.3175	7
AD	AD	10	3599	3999	1.0	2.9575	7
