species	stage	accession	replicate	spectral_count	reported_area	source_sheet
Apis mellifera	adult	XP_393750.5	1	66	5517.7	Table S4
Apis mellifera	adult	XP_393750.5	2	52	3924	Table S4
Apis mellifera	adult	XP_393750.5	3	57	3374.9	Table S4
Apis mellifera	adult	XP_006566764.2	1	0	0	Table S4
Apis mellifera	adult	XP_006566764.2	2	0	0	Table S4
Apis mellifera	adult	XP_006566764.2	3	3	0	Table S4
Apis mellifera	adult	XP_026299794.1	1	1	0	Table S4
Apis mellifera	adult	XP_026299794.1	2	4	0	Table S4
Apis mellifera	adult	XP_026299794.1	3	2	0	Table S4
Apis mellifera	larva	XP_393750.5	1	7	0	Table S5
Apis mellifera	larva	XP_393750.5	2	39	1743	Table S5
Apis mellifera	larva	XP_393750.5	3	67	1565.6	Table S5
Apis mellifera	larva	XP_006566764.2	1	1	0	Table S5
Apis mellifera	larva	XP_006566764.2	2	1	0	Table S5
Apis mellifera	larva	XP_006566764.2	3	2	0	Table S5
Apis mellifera	larva	XP_026299794.1	1	0	0	Table S5
Apis mellifera	larva	XP_026299794.1	2	2	0	Table S5
Apis mellifera	larva	XP_026299794.1	3	1	0	Table S5
