role	relative_path	accession_or_dataset	source_url	size_bytes	sha256
base_repository_input	genomes/apis_laboriosa/refseq/GCF_014066325.1_genomic.gff.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_genomic.gff.gz	5318011	1e9b87bf66e4b123f1243c9f3132c3785815a22799547725fe33db3f1d3a005c
base_repository_input	genomes/apis_laboriosa/refseq/GCF_014066325.1_protein.faa.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_protein.faa.gz	4488306	80706f78c0c02fb857b6c1f73100feb36e16942ab72cca07f031d8f4c50e2fce
base_repository_input	genomes/apis_laboriosa/refseq/GCF_014066325.1_rna.fna.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_rna.fna.gz	12986408	76993ded3cb4c1964489c50bd3130606a863812a8e205710508e8cc96b2e95e3
base_repository_input	genomes/apis_dorsata/GCF_000469605.1_genomic.gff.gz	GCF_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3/GCF_000469605.1_Apis_dorsata_1.3_genomic.gff.gz	5392858	b2ef8b4fdf4b12762e5daca283e641f18adf4c8c802c92873eb7ce305476c46a
base_repository_input	genomes/apis_dorsata/GCF_000469605.1_protein.faa.gz	GCF_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3/GCF_000469605.1_Apis_dorsata_1.3_protein.faa.gz	5110224	943bb986d54967be4406393ad0a07b6596809a258a86fc29818dc534199c5b50
base_repository_input	genomes/apis_dorsata/GCF_000469605.1_rna.fna.gz	GCF_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3/GCF_000469605.1_Apis_dorsata_1.3_rna.fna.gz	12460189	665ee072e9d982237beed3df5149b920a0664a1beb484c9d9eea660d3ff3cedc
base_repository_input	genomes/apis_mellifera/GCF_003254395.2_genomic.gff.gz	GCF_003254395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_genomic.gff.gz	6756366	79dc8b0cf1af584179887d9daa600be8c10e874f2f2f68b822af3a44b8ad4ba3
base_repository_input	genomes/apis_mellifera/GCF_003254395.2_protein.faa.gz	GCF_003254395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_protein.faa.gz	6399671	ed9ef12928027c8a81834b572e664a9dc78133c20673c10b803640604c470b00
base_repository_input	genomes/apis_cerana/GCF_029169275.2_genomic.gff.gz	GCF_029169275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.2_AcerK_1.0/GCF_029169275.2_AcerK_1.0_genomic.gff.gz	7900622	fc8704cd836873da09a0536b7c36c834a04c6dd1122b1d915ec02b9d8445f32e
base_repository_input	genomes/apis_cerana/GCF_029169275.2_protein.faa.gz	GCF_029169275.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/169/275/GCF_029169275.2_AcerK_1.0/GCF_029169275.2_AcerK_1.0_protein.faa.gz	6371462	46170cc54d26f925ae93df381501eac72ac36bde31cdf0639c761b0c556a68d1
base_repository_input	genomes/apis_florea/GCF_048593485.1_genomic.gff.gz	GCF_048593485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/593/485/GCF_048593485.1_ASM4859348v1/GCF_048593485.1_ASM4859348v1_genomic.gff.gz	7016290	80d4dae2f5bc9fb09d1b92050b63614d509c935dfa40f7058083e5fa394af0cf
base_repository_input	genomes/apis_florea/GCF_048593485.1_protein.faa.gz	GCF_048593485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/593/485/GCF_048593485.1_ASM4859348v1/GCF_048593485.1_ASM4859348v1_protein.faa.gz	6152088	0c7b3e16df6ae1577468591135979cdfdb24bca917f5b718cf1db9967415b34a
base_repository_input	genomes/bombus_terrestris/GCF_000214255.1_protein.faa.gz	GCF_000214255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/255/GCF_000214255.1_Bter_1.0/GCF_000214255.1_Bter_1.0_protein.faa.gz	6078052	a6c2db5adb179376814a0fa13cd30894b39444e3d7c86c51254ef28ea5bc8bd0
base_repository_input	references/transcriptome_2019/GSM3757258_AL.unigene.fasta.gz	GSM3757258 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757258	21597453	e15973f2686786fd4d149bfcca5ec06a87cf4a1e7630c670849241dd4f120fe6
base_repository_input	references/transcriptome_2019/GSM3757258_AL.Readcount_FPKM.txt.gz	GSM3757258 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757258	574132	3629897a6dca2b8f318763f41f6ba926e3e4d22d13613d9291fbcc9cda632161
base_repository_input	references/transcriptome_2019/GSM3757259_AD.unigene.fasta.gz	GSM3757259 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757259	17394546	62eaede0d1129b1946995aa052d9e07030d8fc788f295187bfdcbfc64ef93b44
base_repository_input	references/transcriptome_2019/GSM3757259_AD.Readcount_FPKM.txt.gz	GSM3757259 / GSE130963	https://www.ncbi.nlm.nih.gov/gds/303757259	425885	6c45cddb6e11dd5d0440b6a39470b4c951a8df1ff3e8f295aa142c8af48e6236
base_repository_input	references/rat_Nav1.4_NP_037310.2.faa	NP_037310.2	https://www.ncbi.nlm.nih.gov/protein/NP_037310.2	1945	32b44a7539f05cc41f605dc045ea10479523d5a7361b2197197a1e1d0c113a09
addendum_input	inputs/bombus_terrestris_current/GCF_910591885.1_iyBomTerr1.2_genomic.gff.gz	GCF_910591885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/591/885/GCF_910591885.1_iyBomTerr1.2/GCF_910591885.1_iyBomTerr1.2_genomic.gff.gz	6835459	c9f7386f70895d27b347008b0170c9effac78f9f9ce6da4d5401c8f0ccb666e1
addendum_input	inputs/bombus_terrestris_current/GCF_910591885.1_iyBomTerr1.2_protein.faa.gz	GCF_910591885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/910/591/885/GCF_910591885.1_iyBomTerr1.2/GCF_910591885.1_iyBomTerr1.2_protein.faa.gz	7011272	4dea311e833dcd04be422d057a61a89978aceebc24c94b5232aff6cb0b0a616b
addendum_input	inputs/bombus_nhe3_panel.faa	XP_024225097.1;XP_033307208.1;XP_033351717.1;XP_043591548.1;XP_050475552.1;XP_050600501.1;XP_060818789.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_024225097.1,XP_033307208.1,XP_033351717.1,XP_043591548.1,XP_050475552.1,XP_050600501.1,XP_060818789.1&rettype=fasta&retmode=text	7932	2bfb0c1d0d95cc7269689ef9483ff8de57bf4679dcc43fa673f72a31d9237c08
addendum_input	inputs/other_bee_nhe3_panel.faa	XP_046142244.1;XP_017793857.1;OAD61382.1;KZC09527.1;XP_031831120.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_046142244.1,XP_017793857.1,OAD61382.1,KZC09527.1,XP_031831120.1&rettype=fasta&retmode=text	5292	cfe604edf204b34929e7ef9d73adcba3b84eeb057d11cf77ce5c332d7a3250b2
addendum_input	inputs/nomia_nhe2.faa	XP_031830511.1	https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=protein&id=XP_031830511.1&rettype=fasta&retmode=text	1150	42b6f7bda00afbb271568b6850d7fa461005e600cf3158b7af46811b5fb82ec2
addendum_input	inputs/lin2021_supplementary_data.zip	PMCID PMC8536543 / evab227_supplementary_data.zip	https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8536543/supplementaryFiles	5332773	cb12981426e1ff6e066bf39cd1c3c667ba5b7e0bcbe3d2ee15c0c0f020b88a54
