focal_apis	category	category_orthogroups	category_callable_sites	category_strict_sites	category_orthogroups_with_hit	site_fisher_odds_ratio	site_fisher_p_two_sided	gene_fisher_odds_ratio	gene_fisher_p_two_sided	warning	site_fisher_bh_q	gene_fisher_bh_q
Apis_laboriosa	ABCB_P_glycoprotein	3	2179	2	2	2.225379802421412	0.2273799206355037	10.635599694423224	0.06734379180975715	unstratified exploratory test; annotation categories include false positives	0.8210941578504299	0.460773312382549
Apis_laboriosa	ABCC_MRP	7	10250	5	4	1.1820054528344803	0.6221248986132167	7.0992093853608775	0.014694269287904384	unstratified exploratory test; annotation categories include false positives	1.0	0.19102550074275698
Apis_laboriosa	ABCG_half_transporter	8	5032	1	1	0.48096158734285394	0.7295397182152743	0.7584514721919302	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	ABC_or_multidrug_transporter	32	30515	10	8	0.7926183654266065	0.5710761117675106	1.7748784855461754	0.14986794966699382	unstratified exploratory test; annotation categories include false positives	1.0	0.6093425129105323
Apis_laboriosa	UDP_glycosyltransferase	7	3398	2	2	1.4262208754349972	0.4092684211032672	2.125897631779985	0.307141080172343	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	0.8680074004870563
Apis_laboriosa	V_type_proton_ATPase	15	5586	1	1	0.43320392035902255	0.7348668667575804	0.3788440567066521	0.49130011558824616	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_laboriosa	aldo_keto_reductase	2	640	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	aquaporin	4	1110	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	carboxylesterase_or_esterase	48	29999	15	8	1.212726429041565	0.4728754184021306	1.0624712202609363	0.8430915243926878	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	claudin_septate	3	667	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	contactin	3	3491	0	0	0.0	0.4129203738793171	0.0	1.0	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	1.0
Apis_laboriosa	cytochrome_P450	22	11280	5	5	1.0738000085660724	0.8137320439655411	1.564048283938384	0.3777553176428059	unstratified exploratory test; annotation categories include false positives	1.0	0.9094109498808289
Apis_laboriosa	epoxide_hydrolase	2	857	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	glutathione_S_transferase	7	1699	1	1	1.4260101879038873	0.50428321235381	0.8849872773536895	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	lipophorin	2	4158	1	1	0.5821866195713452	1.0	5.313740458015267	0.2918388416467916	unstratified exploratory test; annotation categories include false positives	1.0	0.8622511230473386
Apis_laboriosa	major_facilitator	14	7610	2	2	0.6360778024277636	0.7764788797648354	0.884899414311179	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	major_facilitator_transporter	14	7610	2	2	0.6360778024277636	0.7764788797648354	0.884899414311179	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	mucin	32	38482	16	13	1.0070784298981477	0.8997540748165209	3.6598410510096504	0.0006726152679924228	unstratified exploratory test; annotation categories include false positives	1.0	0.021859996209753742
Apis_laboriosa	organic_anion_transport	7	5220	0	0	0.0	0.2874888599940101	0.0	0.6058782429022247	unstratified exploratory test; annotation categories include false positives	0.9115500438834466	1.0
Apis_laboriosa	organic_anion_transporter	7	5220	0	0	0.0	0.2874888599940101	0.0	0.6058782429022247	unstratified exploratory test; annotation categories include false positives	0.9115500438834466	1.0
Apis_laboriosa	peritrophic_matrix_chitin_binding	9	2047	0	0	0.0	1.0	0.0	0.370815523670192	unstratified exploratory test; annotation categories include false positives	1.0	0.9094109498808289
Apis_laboriosa	short_chain_dehydrogenase	2	660	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	snakeskin	2	288	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	sodium_hydrogen_exchange	6	3825	4	1	2.537461812132535	0.07586731170946386	1.0621374045801526	1.0	unstratified exploratory test; annotation categories include false positives	0.3652870563789001	1.0
Apis_laboriosa	sodium_potassium_ATPase	7	4210	1	1	0.5749879004891126	1.0	0.8849872773536895	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_laboriosa	sulfotransferase	15	5957	0	0	0.0	0.18862158124109038	0.0	0.14999200317797717	unstratified exploratory test; annotation categories include false positives	0.7131029118859766	0.6093425129105323
Apis_dorsata	ABCB_P_glycoprotein	3	2179	1	1	1.1050712620960554	0.5956158253534212	2.36159169550173	0.4380893394355512	unstratified exploratory test; annotation categories include false positives	1.0	0.9500632393613472
Apis_dorsata	ABCC_MRP	7	10250	8	4	1.8833638184726464	0.08177849943932974	6.309754969949145	0.02080944790920311	unstratified exploratory test; annotation categories include false positives	0.3746415518252056	0.24592983892694587
Apis_dorsata	ABCG_half_transporter	8	5032	2	2	0.9569090862885616	1.0	1.5745614035087718	0.635500113361634	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	ABC_or_multidrug_transporter	32	30515	15	10	1.1850020684452591	0.4791549369035626	2.1540263357812104	0.05757692048299751	unstratified exploratory test; annotation categories include false positives	1.0	0.4158333145994264
Apis_dorsata	UDP_glycosyltransferase	7	3398	4	3	2.840070945021089	0.05490566050583993	3.5462577962577964	0.10743993580836211	unstratified exploratory test; annotation categories include false positives	0.31033634198953003	0.5149137785738079
Apis_dorsata	V_type_proton_ATPase	15	5586	0	0	0.0	0.18404784007263988	0.0	0.08971159141833632	unstratified exploratory test; annotation categories include false positives	0.7131029118859766	0.5149137785738079
Apis_dorsata	aldo_keto_reductase	2	640	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	aquaporin	4	1110	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	carboxylesterase_or_esterase	48	29999	12	10	0.962891759024431	1.0	1.2441357572203489	0.5661978840851628	unstratified exploratory test; annotation categories include false positives	1.0	0.9946719585279887
Apis_dorsata	claudin_septate	3	667	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	contactin	3	3491	0	0	0.0	0.4130116864764062	0.0	1.0	unstratified exploratory test; annotation categories include false positives	0.9559887774054442	1.0
Apis_dorsata	cytochrome_P450	22	11280	9	7	1.9258917312580404	0.058385000573330015	2.2091267083622887	0.08922997791502317	unstratified exploratory test; annotation categories include false positives	0.31451336072190494	0.5149137785738079
Apis_dorsata	epoxide_hydrolase	2	857	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	glutathione_S_transferase	7	1699	1	1	1.4175978098239583	0.5063418221457915	0.7867358708189158	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	lipophorin	2	4158	1	1	0.5787521595556236	1.0	4.7238754325259515	0.3190383775049735	unstratified exploratory test; annotation categories include false positives	1.0	0.8824465760775863
Apis_dorsata	major_facilitator	14	7610	4	3	1.2662252759425319	0.5648644009450288	1.2882252882252883	0.7225831676663603	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	major_facilitator_transporter	14	7610	4	3	1.2662252759425319	0.5648644009450288	1.2882252882252883	0.7225831676663603	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	mucin	32	38482	25	13	1.5715793548671066	0.03147707203675924	3.250596834025049	0.0017336123264486802	unstratified exploratory test; annotation categories include false positives	0.2046009682389351	0.03387652463959926
Apis_dorsata	organic_anion_transport	7	5220	2	2	0.9223970576097489	1.0	1.8897506925207757	0.35304096860723844	unstratified exploratory test; annotation categories include false positives	1.0	0.9040419327513477
Apis_dorsata	organic_anion_transporter	7	5220	2	2	0.9223970576097489	1.0	1.8897506925207757	0.35304096860723844	unstratified exploratory test; annotation categories include false positives	1.0	0.9040419327513477
Apis_dorsata	peritrophic_matrix_chitin_binding	9	2047	0	0	0.0	1.0	0.0	0.3748595410648715	unstratified exploratory test; annotation categories include false positives	1.0	0.9094109498808289
Apis_dorsata	short_chain_dehydrogenase	2	660	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	snakeskin	2	288	0	0	0.0	1.0	0.0	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	sodium_hydrogen_exchange	6	3825	1	1	0.6291936097375428	1.0	0.9442214532871972	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	sodium_potassium_ATPase	7	4210	2	1	1.144025894396028	0.6956557006058119	0.7867358708189158	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_dorsata	sulfotransferase	15	5957	1	1	0.40379259533054024	0.5292141023303114	0.33677706376668315	0.4933519650531194	unstratified exploratory test; annotation categories include false positives	1.0	0.9893791564256167
Apis_mellifera	ABCB_P_glycoprotein	3	2179	6	3	2.165441697051223	0.06290267214438099	inf	0.049244300491503794	unstratified exploratory test; annotation categories include false positives	0.31451336072190494	0.3891773607132682
Apis_mellifera	ABCC_MRP	7	10250	15	6	1.1491300137665206	0.5769722107186004	10.384539147670962	0.011625560864342853	unstratified exploratory test; annotation categories include false positives	1.0	0.1687331757382396
Apis_mellifera	ABCG_half_transporter	8	5032	6	3	0.935686736661667	1.0	1.0366336633663367	1.0	unstratified exploratory test; annotation categories include false positives	1.0	1.0
Apis_mellifera	ABC_or_multidrug_transporter	32	30515	36	18	0.9254019992857996	0.7469976464487416	2.2285714285714286	0.026676777395455938	unstratified exploratory test; annotation categories include false positives	1.0	0.2886116108018841
