focal_apis	candidate_set	candidate_orthogroups	background_orthogroups	candidate_callable_sites	background_callable_sites	candidate_strict_sites	background_strict_sites	candidate_orthogroups_with_hit	background_orthogroups_with_hit	site_fisher_odds_ratio	site_fisher_p_two_sided	gene_fisher_odds_ratio	gene_fisher_p_two_sided	matched_density_difference_per_1000_sites	matched_permutation_p_two_sided	permutation_orthogroups	permutations	matched_permutation_bh_q
Apis_laboriosa	barrier_or_detox	244	8029	164280	4738763	53	1964	42	1265	0.7783497370145741	0.0725398648004813	1.1117598716393378	0.5329635096565175	-0.09183423463904154	0.2815359232038398	8272	20000	0.5181407596286852
Apis_laboriosa	core_toxicokinetic	118	8155	92751	4810292	29	1988	24	1283	0.7564683196350294	0.14129553787641852	1.3675395101242103	0.20211000258855738	-0.10061543178274023	0.31088445577721113	8272	20000	0.5181407596286852
Apis_dorsata	barrier_or_detox	244	8029	164280	4738763	79	1979	53	1397	1.1515666540378962	0.2200289629206823	1.3173179625750018	0.08707250471027456	0.0632667568100444	0.4344782760861957	8272	20000	0.5430978451077446
Apis_dorsata	core_toxicokinetic	118	8155	92751	4810292	47	2011	28	1422	1.2122080230719308	0.19452154778387187	1.4730739177996561	0.08669342936282387	0.0886711421855194	0.39858007099645015	8272	20000	0.5430978451077446
Apis_mellifera	barrier_or_detox	244	8029	164280	4738763	325	5973	116	2914	1.5706644545223922	1.1296385824331816e-13	1.5907579787234043	0.0004333265824860119	0.7178741570907982	0.01744912754362282	8272	20000	0.1744912754362282
Apis_mellifera	core_toxicokinetic	118	8155	92751	4810292	160	6138	57	2973	1.3525123658519889	0.00029818954306156314	1.6287240905857636	0.009250261607838296	0.4490347732494827	0.06894655267236638	8272	20000	0.3194840257987101
Apis_cerana	barrier_or_detox	244	8029	164280	4738763	225	4844	103	2595	1.3403238176578764	3.992904356786951e-05	1.5296792795747414	0.0014097146360635851	0.34740516181288	0.09584520773961303	8272	20000	0.3194840257987101
Apis_cerana	core_toxicokinetic	118	8155	92751	4810292	126	4943	53	2645	1.3224420449807972	0.0027348146741998577	1.6985895012360042	0.005418023034663356	0.3308875734089516	0.17549122543872805	8272	20000	0.43872806359682015
Apis_florea	barrier_or_detox	244	8029	164280	4738763	639	16584	167	4913	1.1118901676343482	0.009646830554136867	1.3755501571499944	0.023124995885717693	0.3900530294792975	0.6536673166341683	8272	20000	0.6536673166341683
Apis_florea	core_toxicokinetic	118	8155	92751	4810292	377	16846	83	4997	1.1612952325617145	0.005059941982723354	1.4986935018153749	0.04570974039403518	0.562571900925392	0.4889255537223139	8272	20000	0.5432506152470155
