category	Apis_laboriosa	Apis_dorsata	Apis_mellifera	Apis_cerana	Apis_florea	Bombus_terrestris
cytochrome_P450	34	36	42	35	45	40
UDP_glycosyltransferase	4	9	12	5	7	6
glutathione_S_transferase	7	8	7	8	10	10
ABC_or_multidrug_transporter	33	38	35	27	26	35
sulfotransferase	15	17	17	15	17	17
carboxylesterase_or_esterase	53	50	54	42	48	49
epoxide_hydrolase	2	2	2	2	2	2
aldo_keto_reductase	2	3	0	2	4	4
short_chain_dehydrogenase	2	1	4	1	3	1
organic_anion_transporter	6	6	5	2	1	6
major_facilitator_transporter	8	9	9	11	10	8
aquaporin	5	5	5	5	6	5
lipocalin	0	0	0	1	1	0
lipophorin	1	1	3	2	2	1
