run_accession	species	location	input_pairs	input_bases	source_compressed_bytes	selected_pairs	selected_bases	selected_fastq_bytes	complete_source_MD5_verified	original_records_restored
SRR23343438	Apis dorsata	China: Yunnan, Puer	49167910	14750373000	7079510892	2398	719400	1614124	True	True
SRR23343439	Apis dorsata	China: Yunnan, Puer	30897199	9269159700	4210703765	1545	463500	1039330	True	True
SRR23343440	Apis dorsata	China: Yunnan, Puer	35958589	10787576700	5008854512	1589	476700	1068982	True	True
SRR23343441	Apis dorsata	China: Yunnan, Xishuangbanna	32668850	9800655000	4663359510	1467	440100	986830	True	True
SRR23343442	Apis laboriosa	China: Tibet, Rikaze	52112463	15633738900	7294096700	2403	720900	1617490	True	True
SRR23343443	Apis laboriosa	China: Tibet, Rikaze	30781684	9234505200	4345395761	1254	376200	843268	True	True
SRR23343444	Apis laboriosa	China: Tibet, Rikaze	43633909	13090172700	6085146206	1169	350700	786774	True	True
SRR23343445	Apis laboriosa	China: Tibet, Rikaze	43659908	13097972400	6089552735	1971	591300	1326470	True	True
SRR23343446	Apis laboriosa	China: Tibet, Rikaze	30120305	9036091500	4246086278	1335	400500	897862	True	True
SRR23343447	Apis laboriosa	China: Tibet, Rikaze	36228001	10868400300	5026657213	1583	474900	1064898	True	True
SRR23343448	Apis laboriosa	China: Tibet, Linzhi	31651843	9495552900	4435197785	1489	446700	1001458	True	True
SRR23343449	Apis dorsata	China: Yunnan, Xishuangbanna	29594786	8878435800	4217719973	1400	420000	941508	True	True
SRR23343450	Apis laboriosa	China: Tibet, Linzhi	37126973	11138091900	5152982812	1697	509100	1141770	True	True
SRR23343451	Apis laboriosa	China: Tibet, Linzhi	31506391	9451917300	4386701212	1374	412200	924132	True	True
SRR23343452	Apis laboriosa	China: Tibet, Linzhi	45826711	13748013300	6343761888	1718	515400	1156368	True	True
SRR23343453	Apis laboriosa	China: Yunnan, Diqing	31668211	9500463300	4410451038	753	225900	506418	True	True
SRR23343454	Apis laboriosa	China: Yunnan, Diqing	32423602	9727080600	4490186709	1509	452700	1015034	True	True
SRR23343455	Apis laboriosa	China: Yunnan, Diqing	26622413	7986723900	3715929252	286	85800	192284	True	True
SRR23343456	Apis laboriosa	China: Yunnan, Diqing	28559281	8567784300	3966074711	1339	401700	900494	True	True
SRR23343457	Apis laboriosa	China: Yunnan, Baoshan	39627832	11888349600	5509370849	1602	480600	1078016	True	True
SRR23343458	Apis laboriosa	China: Yunnan, Baoshan	47834431	14350329300	6615792920	2104	631200	1416204	True	True
SRR23343459	Apis laboriosa	China: Yunnan, Baoshan	28822476	8646742800	4072341289	1273	381900	855914	True	True
SRR23343460	Apis dorsata	China: Yunnan, Xishuangbanna	29076235	8722870500	4102143069	1306	391800	878324	True	True
SRR23343461	Apis laboriosa	China: Yunnan, Baoshan	29398972	8819691600	4074681842	1546	463800	1039656	True	True
SRR23343462	Apis laboriosa	China: Yunnan, Baoshan	44839178	13451753400	6155069396	2199	659700	1479838	True	True
SRR23343463	Apis laboriosa	China: Yunnan, Baoshan	37143806	11143141800	5131144889	1763	528900	1186150	True	True
SRR23343464	Apis laboriosa	China: Yunnan, Honghe	29136847	8741054100	4060685193	1406	421800	945360	True	True
