category	Apis_laboriosa	Apis_dorsata	Apis_mellifera	Apis_cerana	Apis_florea	Bombus_terrestris	laboriosa_vs_dorsata_ratio	laboriosa_exceeds_other_apis_max
ABCB_P_glycoprotein	3	5	5	1	1	5	0.600	False
ABCC_MRP	9	9	8	7	6	9	1.000	False
ABCG_half_transporter	8	9	9	9	9	10	0.889	False
organic_anion_transport	6	6	5	7	6	6	1.000	False
major_facilitator	8	9	9	11	10	8	0.889	False
aquaporin	5	5	5	5	6	6	1.000	False
sodium_hydrogen_exchange	6	7	6	1	0	7	0.857	False
sodium_potassium_ATPase	8	5	7	7	8	8	1.600	False
V_type_proton_ATPase	14	15	13	12	11	15	0.933	False
neurexin_IV	0	0	0	0	0	0	NA	False
contactin	1	2	2	1	2	1	0.500	False
neuroglian	1	1	1	1	1	1	1.000	False
coracle	0	0	0	1	1	0	NA	False
gliotactin	0	0	0	0	0	0	NA	False
mesh	2	2	2	2	2	2	1.000	False
snakeskin	1	1	1	1	2	1	1.000	False
claudin_septate	0	0	0	3	3	0	NA	False
chitin_synthase	3	2	2	1	1	0	1.500	True
peritrophic_matrix_chitin_binding	1	3	7	6	7	6	0.333	False
mucin	16	25	15	18	0	22	0.640	False
lipophorin	0	0	1	0	0	0	NA	False
