category	species	annotated_genes	mapped_genes	mapped_unique_unigenes	mapping_fraction	sum_fpkm_unique	sum_cpm_unique	median_fpkm	max_fpkm
cytochrome_P450	Apis_laboriosa	34	34	33	1.000000	8902.370000	16797.449678	46.930000	5658.960000
cytochrome_P450	Apis_dorsata	36	33	31	0.916667	1245.230000	2623.863068	31.550000	239.750000
UDP_glycosyltransferase	Apis_laboriosa	4	4	4	1.000000	84.410000	203.792066	19.665000	40.350000
UDP_glycosyltransferase	Apis_dorsata	9	9	9	1.000000	140.770000	341.027378	11.780000	50.760000
glutathione_S_transferase	Apis_laboriosa	7	6	6	0.857143	313.200000	340.722496	16.820000	240.970000
glutathione_S_transferase	Apis_dorsata	8	8	8	1.000000	237.980000	407.720361	25.875000	77.940000
ABCB_P_glycoprotein	Apis_laboriosa	3	3	3	1.000000	221.390000	985.315700	37.760000	150.620000
ABCB_P_glycoprotein	Apis_dorsata	5	5	5	1.000000	298.250000	1631.000914	25.010000	227.320000
ABCC_MRP	Apis_laboriosa	9	9	9	1.000000	411.100000	1841.841046	23.010000	159.600000
ABCC_MRP	Apis_dorsata	9	9	8	1.000000	129.020000	608.997249	12.110000	38.860000
ABCG_half_transporter	Apis_laboriosa	8	8	7	1.000000	101.560000	245.347687	11.915000	35.590000
ABCG_half_transporter	Apis_dorsata	9	9	8	1.000000	110.250000	304.226115	13.030000	30.100000
organic_anion_transport	Apis_laboriosa	6	6	6	1.000000	185.310000	713.547129	29.360000	58.720000
organic_anion_transport	Apis_dorsata	6	5	5	0.833333	47.750000	140.247589	10.130000	15.830000
major_facilitator	Apis_laboriosa	8	8	8	1.000000	188.440000	683.812181	19.555000	61.900000
major_facilitator	Apis_dorsata	9	9	9	1.000000	117.610000	400.288299	14.730000	19.140000
aquaporin	Apis_laboriosa	5	5	5	1.000000	325.430000	612.063445	66.920000	100.320000
aquaporin	Apis_dorsata	5	5	5	1.000000	334.650000	552.775974	56.090000	167.460000
V_type_proton_ATPase	Apis_laboriosa	14	14	14	1.000000	2672.210000	5010.315900	139.615000	526.630000
V_type_proton_ATPase	Apis_dorsata	15	15	15	1.000000	1633.770000	2997.598694	87.140000	277.550000
chitin_synthase	Apis_laboriosa	3	3	3	1.000000	64.890000	328.703285	3.230000	59.140000
chitin_synthase	Apis_dorsata	2	2	2	1.000000	3.340000	7.073499	1.670000	2.770000
peritrophic_matrix_chitin_binding	Apis_laboriosa	1	1	1	1.000000	7531.670000	2488.495995	7531.670000	7531.670000
peritrophic_matrix_chitin_binding	Apis_dorsata	3	2	2	0.666667	15.290000	6.486756	7.645000	14.790000
mucin	Apis_laboriosa	16	15	15	0.937500	122.450000	427.804506	2.580000	63.200000
mucin	Apis_dorsata	25	10	10	0.400000	357.210000	930.886086	8.075000	223.070000
Para	Apis_laboriosa	1	1	1	1.000000	5.570000	26.543061	5.570000	5.570000
Para	Apis_dorsata	1	1	1	1.000000	6.360000	24.594261	6.360000	6.360000
DSC1_60E	Apis_laboriosa	1	1	1	1.000000	3.990000	8.445520	3.990000	3.990000
DSC1_60E	Apis_dorsata	1	1	1	1.000000	1.970000	14.717440	1.970000	1.970000
Nach_DEG_ENaC	Apis_laboriosa	6	6	6	1.000000	46.870000	190.529240	3.170000	32.240000
Nach_DEG_ENaC	Apis_dorsata	7	6	6	0.857143	21.430000	34.927436	1.655000	10.130000
COMMD3	Apis_laboriosa	1	1	1	1.000000	14.100000	93.847590	14.100000	14.100000
COMMD3	Apis_dorsata	1	1	1	1.000000	18.690000	124.959706	18.690000	18.690000
