coverage_threshold	reference_mode	measure	background_groups	median_log2_ratio
0.8	own	fpkm	2470	0.2668741288375992
0.8	own	tpm_submitted	2470	-0.10492815569235561
0.8	own	tpm_length	2470	-0.20857096666842578
0.8	own	count	2470	0.2823384989786719
0.8	both_AL	fpkm	2903	0.234147444396639
0.8	both_AL	tpm_submitted	2903	-0.1376548401333157
0.8	both_AL	tpm_length	2903	-0.24348742717092103
0.8	both_AL	count	2903	0.24793236434694502
0.8	both_AD	fpkm	2332	0.09947214389122774
0.8	both_AD	tpm_submitted	2332	-0.27233014063872685
0.8	both_AD	tpm_length	2332	-0.33454295923402033
0.8	both_AD	count	2332	0.19355664937640815
0.5	own	fpkm	4612	0.25513770701692495
0.5	own	tpm_submitted	4612	-0.11666457751302983
0.5	own	tpm_length	4612	-0.21472377085101035
0.5	own	count	4612	0.27838677711906706
0.5	both_AL	fpkm	4745	0.2213563745839232
0.5	both_AL	tpm_submitted	4745	-0.15044590994603188
0.5	both_AL	tpm_length	4745	-0.25440821859216395
0.5	both_AL	count	4745	0.24606608037205369
0.5	both_AD	fpkm	4422	0.13314812395248282
0.5	both_AD	tpm_submitted	4422	-0.23865416057747188
0.5	both_AD	tpm_length	4422	-0.3123246627813556
0.5	both_AD	count	4422	0.23014285922321603
