coverage_threshold	reference_mode	measure	panel	annotated_orthogroups	AL_mapped_groups	AD_mapped_groups	AL_total	AD_total	raw_sum_ratio	median_normalized_sum_ratio	paired_one_to_one_groups	median_normalized_gene_ratio
0.8	own	fpkm	peritrophin_chitin_binding	8	4	4	7538.35	25.900000000000002	291.05598455598454	241.9019758167164	3	0.3935951694551576
0.8	own	fpkm	chitin_synthase	2	2	2	62.37	15.19	4.105990783410138	3.4125643721340104	1	0.9691380285293567
0.8	own	fpkm	ABCC	9	8	4	319.81	78.78	4.0595328763645595	3.3739523521002046	3	0.802492577927943
0.8	own	fpkm	ABCB	5	3	2	650.5200000000001	35.16	18.50170648464164	15.377108158224065	1	0.9639610616967569
0.8	own	fpkm	ABCG	10	4	2	55.22	31.560000000000002	1.7496831432192648	1.454193804135749	2	0.8264338399190074
0.8	own	fpkm	OATP	7	6	4	145.96	43.57	3.3500114757860917	2.7842560813088326	4	1.342015738733438
0.8	own	fpkm	P450	35	21	18	9577.49	747.27	12.816639233476522	10.652144324184686	8	2.448516616064325
0.8	own	fpkm	esterase	9	6	6	1156.7	1002.1600000000001	1.1542069130677735	0.9592825696346485	3	2.584237840836239
0.8	own	fpkm	UGT	9	5	4	260.85	160.26000000000002	1.6276675402470984	1.3527843949306353	1	2.114265325390207
0.8	own	fpkm	GST	11	5	1	534.8000000000001	39.26	13.62200713194091	11.321500380185721	0	
0.8	own	fpkm	cuticle	53	33	22	722.9799999999999	239.28	3.0214811099966563	2.511208458799059	10	0.6657561015439213
0.8	own	fpkm	chitinase	11	7	5	3756.63	17.65	212.8402266288952	176.89542248496195	3	1.836016038230778
0.8	own	fpkm	digestive_protease	39	16	14	17813.31	10987.3	1.6212636407488648	1.347461996410235	5	0.9245112482291014
0.8	own	fpkm	carbohydrate_digestion	8	4	3	6814.17	17123.07	0.39795258677328305	0.33074570574003714	1	4.395066641004415
0.8	own	fpkm	lipase	47	26	19	1811.89	185.04999999999998	9.791353688192382	8.1377739293261	11	1.1223649799321487
0.8	own	fpkm	royal_jelly	3	3	2	13437.740000000002	2206.4700000000003	6.090153049894175	5.0616380832816334	0	
0.8	own	fpkm	vitellogenin	6	5	5	144.4	216.86	0.665867379876418	0.5534146122084733	5	0.6342541502437814
0.8	own	fpkm	muscle_contractile	23	14	14	6251.849999999999	5552.04	1.1260455616314002	0.9358771530976205	9	0.5961612214949595
0.8	own	fpkm	ribosome	77	24	28	17456.7	16554.13	1.0545223457831974	0.876432894437762	13	1.2378055158046692
0.8	own	fpkm	mitochondrial_respiration	92	17	22	8283.81	7310.39	1.1331556866323136	0.9417865086075188	7	0.9238307940170123
0.8	own	fpkm	immune_effector	7	1	1	78.55	855.12	0.09185845261483767	0.07634524751962728	0	
0.8	own	fpkm	Para	1	1	1	10.120000000000001	6.36	1.5911949685534592	1.3224713705505744	1	1.3224713705505746
0.8	own	tpm_submitted	peritrophin_chitin_binding	8	4	4	7874.366708547828	35.00763261006123	224.93285382241834	241.90197581671637	3	0.3935951694551576
0.8	own	tpm_submitted	chitin_synthase	2	2	2	65.15009937348732	20.53150344968455	3.1731772362967554	3.4125643721340126	1	0.9691380285293569
0.8	own	tpm_submitted	ABCC	9	8	4	334.0653083314891	106.48267556064182	3.137273801325917	3.3739523521002046	3	0.8024925779279432
0.8	own	tpm_submitted	ABCB	5	3	2	679.5164765823467	47.52387500269315	14.298423193475678	15.377108158224065	1	0.963961061696757
0.8	own	tpm_submitted	ABCG	10	4	2	57.681393096103406	42.65794923449931	1.3521839218996958	1.4541938041357494	2	0.8264338399190074
0.8	own	tpm_submitted	OATP	7	6	4	152.46606548908463	58.89121825561265	2.5889439886829613	2.7842560813088326	4	1.3420157387334384
0.8	own	tpm_submitted	P450	35	21	18	10004.399955885538	1010.0445413328359	9.90490968119477	10.652144324184686	8	2.448516616064325
0.8	own	tpm_submitted	esterase	9	6	6	1208.2590980489463	1354.565602181427	0.8919900934315289	0.9592825696346488	3	2.5842378408362396
0.8	own	tpm_submitted	UGT	9	5	4	272.47720733644644	216.61479544742903	1.2578882563106122	1.3527843949306353	1	2.1142653253902073
0.8	own	tpm_submitted	GST	11	5	1	558.6383380622258	53.065623794247244	10.527311244436682	11.321500380185721	0	
0.8	own	tpm_submitted	cuticle	53	33	22	755.2063306885339	323.4218660592838	2.335050316449857	2.511208458799059	10	0.6657561015439214
0.8	own	tpm_submitted	chitinase	11	7	5	3924.0791696235956	23.85655272461701	164.48642915514074	176.89542248496198	3	1.836016038230778
0.8	own	tpm_submitted	digestive_protease	39	16	14	18607.32590461336	14850.940609132267	1.2529392174103224	1.347461996410235	5	0.9245112482291014
0.8	own	tpm_submitted	carbohydrate_digestion	8	4	3	7117.90688869386	23144.329873218572	0.3075443068641333	0.3307457057400372	1	4.395066641004416
0.8	own	tpm_submitted	lipase	47	26	19	1892.6537366334444	250.12210094563048	7.566919234557582	8.137773929326098	11	1.122364979932149
0.8	own	tpm_submitted	royal_jelly	3	3	2	14036.717914944451	2982.3664527074047	4.706570482712431	5.061638083281634	0	
0.8	own	tpm_submitted	vitellogenin	6	5	5	150.83652957401904	293.1179616918099	0.5145932671727964	0.5534146122084733	5	0.6342541502437815
