id	baseMean	baseMean_CK	baseMean_MZM	foldChange(MZM/CK)	log2FoldChange	pval	padj
LOC111360464	4.110163023	0.342756386	7.877569661	22.98299897	4.522495157	0.00486742	0.33134069
LOC111360331	2.743959516	0.321066668	5.166852364	16.09277098	4.008340857	0.039375092	0.855886925
LOC111348313	3.701415203	0.67437715	6.728453256	9.977285346	3.318647335	0.037376397	0.834467616
LOC111364273	14.69669527	3.531733351	25.8616572	7.322652823	2.872366397	4.29e-05	0.023167175
LOC111355893	10.93138997	2.93297945	18.9298005	6.454119717	2.690220339	0.00077016	0.116821484
LOC111356266	15.80512423	4.292287846	27.31796062	6.364428856	2.670031052	5.68e-05	0.025549023
LOC111364435	26.49058599	10.24928471	42.73188726	4.16925556	2.059789807	0.00013013	0.040394933
LOC111355779	7.973160736	3.094780042	12.85154143	4.152650998	2.054032628	0.017864242	0.594853881
LOC111349607	11.05960997	4.743492819	17.37572713	3.663065971	1.873051684	0.025823012	0.724090419
LOC111349926	10.52740481	4.646761379	16.40804823	3.531071836	1.820106172	0.01658086	0.575586821
LOC111350443	8.973769651	4.025736234	13.92180307	3.458200503	1.790021517	0.02929554	0.754279074
LOC111350126	51.97122079	23.63049681	80.31194477	3.398656635	1.764964614	1.53e-05	0.014881113
LOC111349192	89.06258882	41.35639413	136.7687835	3.307077089	1.725556676	0.000117062	0.038895176
LOC111353885	12.92761029	6.113936836	19.74128374	3.22889887	1.691042256	0.012156919	0.495341375
LOC111356317	247.1903512	117.0675821	377.3131202	3.223036756	1.688420641	0.000470281	0.0875037
LOC111354762	8.474752411	4.025154708	12.92435011	3.210895245	1.682975598	0.045356761	0.896101546
LOC111359230	9.129780945	4.347384428	13.91217746	3.20012589	1.678128661	0.03871479	0.848308334
LOC111364178	10.45416241	4.989517764	15.91880706	3.190450022	1.673759934	0.028363107	0.749429428
LOC111349479	68.86555646	32.93282909	104.7982838	3.182182847	1.670016735	0.001667034	0.181745795
LOC111348583	189.3637389	91.61846656	287.1090112	3.133746088	1.64788829	0.004517946	0.31842391
LOC111349573	813.0567391	397.8397207	1228.273758	3.087358285	1.626372916	1.54e-05	0.014881113
LOC111358428	17.75741315	8.704741426	26.81008488	3.07994041	1.622902438	0.008733198	0.426383677
LOC111358791	80.67856494	39.83723813	121.5198918	3.050409553	1.609002954	0.012124049	0.495341375
LOC111348431	286.5346403	141.5212907	431.5479899	3.049350298	1.608501891	0.003012701	0.261131933
LOC111348350	82.16854341	40.80608869	123.5309981	3.027268775	1.59801677	0.001872008	0.194954262
LOC111348450	148.8697361	74.87771029	222.861762	2.976343175	1.57354088	0.000269356	0.06164192
LOC111364529	479.1218735	241.0307638	717.2129832	2.975607644	1.573184309	1.6e-05	0.014881113
LOC111349188	179.5521863	90.82521547	268.2791571	2.953795988	1.562570186	0.00040672	0.079940624
LOC111358979	9.310682011	4.743492819	13.8778712	2.92566506	1.548764614	0.049807507	0.919166436
LOC111359763	13.19109513	6.810003704	19.57218656	2.874034643	1.523077452	0.022314783	0.662559142
LOC111348473	415.7459762	216.2473516	615.2446008	2.845096582	1.508477628	0.005379192	0.343565949
LOC111348937	419.034067	218.0279902	620.0401439	2.843855706	1.507848266	0.022018079	0.662212602
LOC111351850	19.3305703	10.09629364	28.56484697	2.829240908	1.500415026	0.007266719	0.401529797
LOC111349500	121.4698385	63.52133908	179.4183379	2.824536455	1.498014121	0.003750409	0.290500424
LOC111364713	19.6998354	10.39704205	29.00262875	2.789507689	1.480010528	0.005745107	0.348578099
LOC111349648	307.9869812	163.0535354	452.9204269	2.777740609	1.473911884	0.000731262	0.113438227
LOC111356544	47.74667019	25.41699436	70.07634602	2.757066592	1.463134114	0.0002277	0.05478536
LOC111352899	16.67938533	8.907386937	24.45138371	2.745068098	1.456841939	0.015667349	0.560609901
LOC111354839	1759.082553	939.5560751	2578.609031	2.744497215	1.456541875	1.95e-08	0.0001
LOC111349184	480.0622033	259.6448983	700.4795083	2.697836595	1.431802968	2.34e-05	0.017114798
LOC111360227	19.52802187	10.57662638	28.47941736	2.692674992	1.429040106	0.045061904	0.896101546
LOC111349390	119.648513	64.93528351	174.3617425	2.685161797	1.425009022	0.003957252	0.297055551
LOC111357434	308.1593707	167.3437407	448.9750006	2.682950666	1.423820527	0.007387807	0.405893095
LOC111353054	35.07336092	19.1873793	50.95934253	2.655878208	1.40918899	0.000893079	0.124278139
