species	accession	length_aa	aligned_aa_to_laboriosa	matches_to_laboriosa	identity_over_aligned
Apis_laboriosa	XP_043791877.1	2587	2587	2587	1.000000
Apis_dorsata	XP_006620175.1	2550	2549	2533	0.993723
Apis_mellifera	XP_006572013.2	2549	2549	2521	0.989015
Apis_cerana	XP_061935841.1	2546	2546	2504	0.983504
Apis_florea	XP_086771115.1	2550	2549	2518	0.987838
Bombus_terrestris	XP_012173372.1	2556	2546	2356	0.925373
