assembly	query	exon	scaffold	start_1based	end_1based	strand	phase
AD_Malaysia	AL|XP_043798878.1	1	NW_006263826.1	663185	663261	-	0
AD_Malaysia	AL|XP_043798878.1	2	NW_006263826.1	662400	662687	-	1
AD_Malaysia	AL|XP_043798878.1	3	NW_006263826.1	661474	661907	-	1
AD_Malaysia	AL|XP_043798878.1	4	NW_006263826.1	661186	661342	-	2
AD_Malaysia	AL|XP_043798878.1	5	NW_006263826.1	660909	661111	-	1
AD_Malaysia	AL|XP_043798878.1	6	NW_006263826.1	660439	660830	-	2
AD_Malaysia	AL|XP_043798878.1	7	NW_006263826.1	660122	660336	-	0
AD_Malaysia	AL|XP_043798878.1	8	NW_006263826.1	659812	660030	-	1
AD_Malaysia	AL|XP_043798878.1	9	NW_006263826.1	659562	659742	-	1
AD_Malaysia	AL|XP_043798878.1	10	NW_006263826.1	659298	659474	-	0
AD_Malaysia	AL|XP_043798878.1	11	NW_006263826.1	658765	659221	-	0
AD_Malaysia	AL|XP_043798878.1	12	NW_006263826.1	658239	658602	-	2
AD_Malaysia	AL|XP_043798878.1	13	NW_006263826.1	657451	658147	-	1
AD_Malaysia	AL|XP_043798878.1	14	NW_006263826.1	657224	657364	-	0
AD_Malaysia	AD|XP_006621542.1	1	NW_006263826.1	663185	663261	-	0
AD_Malaysia	AD|XP_006621542.1	2	NW_006263826.1	662400	662687	-	1
AD_Malaysia	AD|XP_006621542.1	3	NW_006263826.1	661474	661907	-	1
AD_Malaysia	AD|XP_006621542.1	4	NW_006263826.1	661186	661342	-	2
AD_Malaysia	AD|XP_006621542.1	5	NW_006263826.1	660909	661111	-	1
AD_Malaysia	AD|XP_006621542.1	6	NW_006263826.1	660439	660830	-	2
AD_Malaysia	AD|XP_006621542.1	7	NW_006263826.1	660122	660336	-	0
AD_Malaysia	AD|XP_006621542.1	8	NW_006263826.1	659812	660030	-	1
AD_Malaysia	AD|XP_006621542.1	9	NW_006263826.1	659562	659742	-	1
AD_Malaysia	AD|XP_006621542.1	10	NW_006263826.1	659298	659474	-	0
AD_Malaysia	AD|XP_006621542.1	11	NW_006263826.1	658765	659221	-	0
AD_Malaysia	AD|XP_006621542.1	12	NW_006263826.1	658239	658602	-	2
AD_Malaysia	AD|XP_006621542.1	13	NW_006263826.1	657451	658147	-	1
AD_Malaysia	AD|XP_006621542.1	14	NW_006263826.1	657224	657364	-	0
AD_Thailand	AL|XP_043798878.1	1	WJNQ01000516.1	14198	14274	+	0
AD_Thailand	AL|XP_043798878.1	2	WJNQ01000516.1	14772	15059	+	1
AD_Thailand	AL|XP_043798878.1	3	WJNQ01000516.1	15552	15985	+	1
AD_Thailand	AL|XP_043798878.1	4	WJNQ01000516.1	16117	16273	+	2
AD_Thailand	AL|XP_043798878.1	5	WJNQ01000516.1	16348	16550	+	1
AD_Thailand	AL|XP_043798878.1	6	WJNQ01000516.1	16629	17020	+	2
AD_Thailand	AL|XP_043798878.1	7	WJNQ01000516.1	17126	17340	+	0
AD_Thailand	AL|XP_043798878.1	8	WJNQ01000516.1	17483	17701	+	1
AD_Thailand	AL|XP_043798878.1	9	WJNQ01000516.1	17774	17954	+	1
AD_Thailand	AL|XP_043798878.1	10	WJNQ01000516.1	18042	18218	+	0
AD_Thailand	AL|XP_043798878.1	11	WJNQ01000516.1	18295	18751	+	0
AD_Thailand	AL|XP_043798878.1	12	WJNQ01000516.1	18914	19277	+	2
AD_Thailand	AL|XP_043798878.1	13	WJNQ01000516.1	19369	20065	+	1
AD_Thailand	AL|XP_043798878.1	14	WJNQ01000516.1	20152	20292	+	0
AD_Thailand	AD|XP_006621542.1	1	WJNQ01000516.1	14198	14274	+	0
AD_Thailand	AD|XP_006621542.1	2	WJNQ01000516.1	14772	15059	+	1
AD_Thailand	AD|XP_006621542.1	3	WJNQ01000516.1	15552	15985	+	1
AD_Thailand	AD|XP_006621542.1	4	WJNQ01000516.1	16117	16273	+	2
AD_Thailand	AD|XP_006621542.1	5	WJNQ01000516.1	16348	16550	+	1
AD_Thailand	AD|XP_006621542.1	6	WJNQ01000516.1	16629	17020	+	2
AD_Thailand	AD|XP_006621542.1	7	WJNQ01000516.1	17126	17340	+	0
AD_Thailand	AD|XP_006621542.1	8	WJNQ01000516.1	17483	17701	+	1
AD_Thailand	AD|XP_006621542.1	9	WJNQ01000516.1	17774	17954	+	1
AD_Thailand	AD|XP_006621542.1	10	WJNQ01000516.1	18042	18218	+	0
AD_Thailand	AD|XP_006621542.1	11	WJNQ01000516.1	18295	18751	+	0
AD_Thailand	AD|XP_006621542.1	12	WJNQ01000516.1	18914	19277	+	2
AD_Thailand	AD|XP_006621542.1	13	WJNQ01000516.1	19369	20065	+	1
AD_Thailand	AD|XP_006621542.1	14	WJNQ01000516.1	20152	20292	+	0
AL_Shangrila	AL|XP_043798878.1	1	NW_025223857.1	657760	657836	-	0
AL_Shangrila	AL|XP_043798878.1	2	NW_025223857.1	656956	657243	-	1
AL_Shangrila	AL|XP_043798878.1	3	NW_025223857.1	656043	656476	-	1
AL_Shangrila	AL|XP_043798878.1	4	NW_025223857.1	655749	655905	-	2
AL_Shangrila	AL|XP_043798878.1	5	NW_025223857.1	655451	655653	-	1
AL_Shangrila	AL|XP_043798878.1	6	NW_025223857.1	654974	655374	-	2
AL_Shangrila	AL|XP_043798878.1	7	NW_025223857.1	654640	654854	-	0
AL_Shangrila	AL|XP_043798878.1	8	NW_025223857.1	654338	654556	-	1
AL_Shangrila	AL|XP_043798878.1	9	NW_025223857.1	654085	654265	-	1
AL_Shangrila	AL|XP_043798878.1	10	NW_025223857.1	653813	653989	-	0
AL_Shangrila	AL|XP_043798878.1	11	NW_025223857.1	653280	653736	-	0
AL_Shangrila	AL|XP_043798878.1	12	NW_025223857.1	652755	653118	-	2
AL_Shangrila	AL|XP_043798878.1	13	NW_025223857.1	651976	652672	-	1
AL_Shangrila	AL|XP_043798878.1	14	NW_025223857.1	651749	651889	-	0
AL_Shangrila	AD|XP_006621542.1	1	NW_025223857.1	657760	657836	-	0
AL_Shangrila	AD|XP_006621542.1	2	NW_025223857.1	656956	657243	-	1
AL_Shangrila	AD|XP_006621542.1	3	NW_025223857.1	656043	656476	-	1
AL_Shangrila	AD|XP_006621542.1	4	NW_025223857.1	655749	655905	-	2
AL_Shangrila	AD|XP_006621542.1	5	NW_025223857.1	655451	655653	-	1
AL_Shangrila	AD|XP_006621542.1	6	NW_025223857.1	654974	655374	-	2
AL_Shangrila	AD|XP_006621542.1	7	NW_025223857.1	654640	654854	-	0
AL_Shangrila	AD|XP_006621542.1	8	NW_025223857.1	654338	654556	-	1
AL_Shangrila	AD|XP_006621542.1	9	NW_025223857.1	654085	654265	-	1
AL_Shangrila	AD|XP_006621542.1	10	NW_025223857.1	653813	653989	-	0
AL_Shangrila	AD|XP_006621542.1	11	NW_025223857.1	653280	653736	-	0
AL_Shangrila	AD|XP_006621542.1	12	NW_025223857.1	652755	653118	-	2
AL_Shangrila	AD|XP_006621542.1	13	NW_025223857.1	651976	652672	-	1
AL_Shangrila	AD|XP_006621542.1	14	NW_025223857.1	651749	651889	-	0
AL_Pingbian	AL|XP_043798878.1	1	GWHAOTM00000038	1675309	1675385	+	0
AL_Pingbian	AL|XP_043798878.1	2	GWHAOTM00000038	1675899	1676186	+	1
AL_Pingbian	AL|XP_043798878.1	3	GWHAOTM00000038	1676664	1677097	+	1
AL_Pingbian	AL|XP_043798878.1	4	GWHAOTM00000038	1677226	1677382	+	2
AL_Pingbian	AL|XP_043798878.1	5	GWHAOTM00000038	1677478	1677680	+	1
AL_Pingbian	AL|XP_043798878.1	6	GWHAOTM00000038	1677757	1678157	+	2
AL_Pingbian	AL|XP_043798878.1	7	GWHAOTM00000038	1678277	1678491	+	0
AL_Pingbian	AL|XP_043798878.1	8	GWHAOTM00000038	1678575	1678793	+	1
AL_Pingbian	AL|XP_043798878.1	9	GWHAOTM00000038	1678866	1679046	+	1
AL_Pingbian	AL|XP_043798878.1	10	GWHAOTM00000038	1679138	1679314	+	0
AL_Pingbian	AL|XP_043798878.1	11	GWHAOTM00000038	1679391	1679847	+	0
AL_Pingbian	AL|XP_043798878.1	12	GWHAOTM00000038	1680009	1680372	+	2
AL_Pingbian	AL|XP_043798878.1	13	GWHAOTM00000038	1680455	1681151	+	1
AL_Pingbian	AL|XP_043798878.1	14	GWHAOTM00000038	1681238	1681378	+	0
AL_Pingbian	AD|XP_006621542.1	1	GWHAOTM00000038	1675309	1675385	+	0
AL_Pingbian	AD|XP_006621542.1	2	GWHAOTM00000038	1675899	1676186	+	1
AL_Pingbian	AD|XP_006621542.1	3	GWHAOTM00000038	1676664	1677097	+	1
AL_Pingbian	AD|XP_006621542.1	4	GWHAOTM00000038	1677226	1677382	+	2
AL_Pingbian	AD|XP_006621542.1	5	GWHAOTM00000038	1677478	1677680	+	1
AL_Pingbian	AD|XP_006621542.1	6	GWHAOTM00000038	1677757	1678157	+	2
AL_Pingbian	AD|XP_006621542.1	7	GWHAOTM00000038	1678277	1678491	+	0
AL_Pingbian	AD|XP_006621542.1	8	GWHAOTM00000038	1678575	1678793	+	1
AL_Pingbian	AD|XP_006621542.1	9	GWHAOTM00000038	1678866	1679046	+	1
AL_Pingbian	AD|XP_006621542.1	10	GWHAOTM00000038	1679138	1679314	+	0
AL_Pingbian	AD|XP_006621542.1	11	GWHAOTM00000038	1679391	1679847	+	0
AL_Pingbian	AD|XP_006621542.1	12	GWHAOTM00000038	1680009	1680372	+	2
AL_Pingbian	AD|XP_006621542.1	13	GWHAOTM00000038	1680455	1681151	+	1
AL_Pingbian	AD|XP_006621542.1	14	GWHAOTM00000038	1681238	1681378	+	0
