species	category	gene_parent	product	best_unigene	exact_probe_hits	unique_gene_probes	probe_fraction	mapped	read_count	cpm	fpkm	fpkm_percentile	fpkm_rank_desc
Apis_laboriosa	major_facilitator	gene-LOC122710305	major facilitator superfamily domain-containing protein 6, transcript variant X1	AL|c44887_g1	91	94	0.968085	True	11412.00	174.286200	28.300000	96.898546	3294
Apis_laboriosa	Nach_DEG_ENaC	gene-LOC122710401	sodium channel protein Nach-like	AL|c87536_g1	6	48	0.125000	True	2.00	0.030544	3.470000	79.876808	21367
Apis_laboriosa	aquaporin	gene-LOC122710404	aquaporin AQPAn.G-like, transcript variant X1	AL|c46830_g4	77	95	0.810526	True	10109.00	154.386540	81.200000	98.975286	1089
Apis_laboriosa	major_facilitator	gene-LOC122710406	major facilitator superfamily domain-containing protein 8, transcript variant X1	AL|c43793_g2	114	120	0.950000	True	1003.00	15.318004	7.540000	89.056849	11620
Apis_laboriosa	Nach_DEG_ENaC	gene-LOC122710442	sodium channel protein Nach-like	AL|c46884_g5	40	48	0.833333	True	10951.00	167.245722	32.240000	97.272453	2897
Apis_laboriosa	cytochrome_P450	gene-LOC122710674	probable cytochrome P450 304a1	AL|c5585_g1	42	47	0.893617	True	4090.00	62.463246	44.930000	98.104091	2014
Apis_laboriosa	aquaporin	gene-LOC122710743	aquaporin-11	AL|c34332_g1	38	48	0.791667	True	2124.00	32.438126	35.130000	97.498493	2657
Apis_laboriosa	UDP_glycosyltransferase	gene-LOC122710818	UDP-glycosyltransferase UGT5-like	AL|c40034_g2	12	48	0.250000	True	931.00	14.218406	16.840000	94.826514	5494
Apis_laboriosa	ABCC_MRP	gene-LOC122710824	multidrug resistance-associated protein 1, transcript variant X1	AL|c37191_g1	60	120	0.500000	True	4016.00	61.333104	22.880000	96.133778	4106
Apis_laboriosa	organic_anion_transport	gene-LOC122710879	solute carrier organic anion transporter family member 5A1, transcript variant X1	AL|c47456_g1	72	120	0.600000	True	9465.00	144.551252	23.690000	96.263751	3968
Apis_laboriosa	organic_anion_transport	gene-LOC122710891	solute carrier organic anion transporter family member 4A1, transcript variant X1	AL|c45721_g3	73	120	0.608333	True	10778.00	164.603633	30.000000	97.074668	3107
Apis_laboriosa	cytochrome_P450	gene-LOC122710962	cytochrome P450 9e2-like	AL|c37904_g1	46	48	0.958333	True	76091.00	1162.075994	417.500000	99.793739	220
Apis_laboriosa	cytochrome_P450	gene-LOC122710963	cytochrome P450 9e2-like, transcript variant X1	AL|c40749_g1	27	93	0.290323	True	37222.00	568.461351	750.560000	99.885096	123
Apis_laboriosa	cytochrome_P450	gene-LOC122710964	cytochrome P450 9e2-like	AL|c43493_g1	32	47	0.680851	True	509.00	7.773543	4.900000	84.427743	16535
Apis_laboriosa	cytochrome_P450	gene-LOC122710965	cytochrome P450 9e2-like	AL|c26349_g1	33	48	0.687500	True	5724.00	87.417999	94.470000	99.134456	920
Apis_laboriosa	cytochrome_P450	gene-LOC122710966	cytochrome P450 9e2-like	AL|c54603_g1	8	48	0.166667	True	5.00	0.076361	1.260000	59.569959	42928
Apis_laboriosa	ABCB_P_glycoprotein	gene-LOC122711022	ATP-binding cassette sub-family B member 6	AL|c7043_g1	48	48	1.000000	True	6087.00	92.961803	33.010000	97.336498	2829
Apis_laboriosa	cytochrome_P450	gene-LOC122711037	cytochrome P450 307a1-like	AL|c55980_g1	6	48	0.125000	True	2.00	0.030544	5.200000	85.161430	15756
Apis_laboriosa	ABCG_half_transporter	gene-LOC122711105	ATP-binding cassette sub-family G member 1-like	AL|c45217_g1	27	48	0.562500	True	746.00	11.393052	7.820000	89.426989	11227
Apis_laboriosa	cytochrome_P450	gene-LOC122711712	cytochrome P450 4g15	AL|c33563_g1	46	48	0.958333	True	690089.00	10539.168377	5658.960000	99.983047	19
Apis_laboriosa	cytochrome_P450	gene-LOC122712180	probable cytochrome P450 6a14, transcript variant X1	AL|c20642_g2	91	92	0.989130	True	5579.00	85.203532	48.930000	98.239715	1870
Apis_laboriosa	cytochrome_P450	gene-LOC122712182	probable cytochrome P450 6a13	AL|c43082_g1	30	46	0.652174	True	11605.00	177.233732	148.140000	99.457505	577
