query_species	reference_species	unigene	group	gene	transcript	product	score	identity	query_coverage	aligned_nt	query_start	query_end	target_start	target_end	target_length	runner_up_score	unique_group	count	fpkm	tpm_submitted	tpm_length	length
AL	AL	AL|c100004_g1	OG0004671	LOC122712912	XM_043932933.1	uncharacterized LOC122712912	215	1.0	1.0	215	0	215	88	303	3615	0	True	0.0	0.0	0.0	0.0	215
AL	AL	AL|c100046_g1	OG0004725	LOC122711678	XM_043930682.1	poly(ADP-ribose) glycohydrolase, transcript variant X3	2825	1.0	0.9560067681895094	2825	130	2955	0	2825	2837	0	True	4738.0	26.87	28.067711562700083	42.685701107303274	2955
AL	AL	AL|c100095_g1	OG0001546	LOC122715064	XM_043936977.1	sodium/calcium exchanger 3, transcript variant X1	376	0.9974747474747475	0.99	396	0	396	7451	7847	14955	0	True	8.0	0.88	0.9192253879857116	0.5324451108994562	400
AL	AL	AL|c100104_g1	OG0002421	LOC122719468	XM_043945291.1	uncharacterized LOC122719468	616	1.0	1.0	616	0	616	209	825	2580	0	True	15.0	0.65	0.6789732979439915	0.6482692096990134	616
AL	AL	AL|c10012_g1	OG0003587	LOC122720469	XM_043947215.1	ataxin-7-like protein 1, transcript variant X2	219	1.0	0.9358974358974359	219	15	234	4256	4475	5187	0	True	0.0	0.0	0.0	0.0	234
AL	AL	AL|c100167_g1	OG0009405	LOC122714884	XM_043936639.1	mediator of RNA polymerase II transcription subunit 20, transcript variant X2	936	1.0	0.8402154398563735	936	103	1039	0	936	936	0	True	145.0	2.6	2.715893191775966	3.4651948420296748	1114
AL	AL	AL|c100173_g1	OG0006543	LOC122712140	XM_043931541.1	PAN2-PAN3 deadenylation complex catalytic subunit PAN2, transcript variant X3	441	1.0	0.997737556561086	441	0	441	5521	5962	5962	0	True	72.0	6.09	6.361457514582936	4.336657011850774	442
AL	AL	AL|c100184_g1	OG0008532	LOC122716859	XM_043940311.1	transcriptional repressor p66-beta-like, transcript variant X3	418	1.0	1.0	418	0	418	4299	4717	4874	0	True	179.0	17.45	18.227821614034852	11.400439575478787	418
AL	AL	AL|c100290_g1	OG0002278	LOC122719168	XM_043944773.1	protein YIPF1	218	1.0	1.0	218	0	218	8051	8269	11863	0	True	15.0	44.0	45.961269399285584	1.8318065741953768	218
AL	AL	AL|c100295_g1	OG0002118	LOC122720809	XM_043947801.1	probable nuclear hormone receptor HR3, transcript variant X2	342	1.0	1.0	342	0	342	736	1078	8866	0	True	2.0	0.37	0.3864924926758106	0.15568570494136147	342
AL	AL	AL|c100307_g1	OG0000734	LOC122719377	XM_043945109.1	protein groucho-like, transcript variant X4	243	0.9903225806451613	1.0	310	0	308	3424	3734	3788	0	True	0.0	0.0	0.0	0.0	308
AL	AL	AL|c100307_g2	OG0000734	LOC122719377	XM_043945109.1	protein groucho-like, transcript variant X4	243	0.9903225806451613	1.0	310	0	308	3447	3757	3788	0	True	10.0	2.88	3.008373997044147	0.8643589462653509	308
AL	AL	AL|c100403_g1	OG0001481	LOC122716604	XM_043939856.1	T-complex protein 1 subunit delta	1885	1.0	0.8887317303158887	1885	22	1907	0	1885	1885	0	True	10228.0	84.01	87.7546873234996	128.37926907778495	2121
AL	AL	AL|c100405_g1	OG0004363	LOC122716649	XM_043939925.1	uncharacterized LOC122716649	259	1.0	0.9885496183206107	259	1	260	2886	3145	19419	0	True	13.0	9.3	9.714541032121726	1.3209516110101014	262
AL	AL	AL|c100441_g1	OG0000763	LOC122719309	XM_043945018.1	paired box protein Pax-6	856	1.0	0.9264069264069265	856	0	856	0	856	2083	0	True	22.0	0.51	0.5327328953099011	0.6338632272612573	924
AL	AL	AL|c100463_g1	OG0004616	LOC122717449	XR_006347212.1	phosphatidylcholine:ceramide cholinephosphotransferase 2-like, transcript variant X4	318	1.0	1.0	318	0	318	1588	1906	4684	0	True	165.0	41.01	42.83799222874322	13.813434480882119	318
AL	AL	AL|c100467_g1	OG0008718	LOC122715994	XM_043938663.1	laminin subunit alpha-1, transcript variant X2	415	1.0	0.8042635658914729	415	101	516	922	1337	9782	0	True	7.0	0.42	0.4387212079022714	0.36115462948606525	516
AL	AL	AL|c100484_g1	OG0005925	LOC122715866	XM_043938402.1	probable tyrosine-protein phosphatase F54C8.4, transcript variant X1	1003	1.0	0.9489120151371807	1003	54	1057	0	1003	1628	0	True	603.0	11.58	12.096170446448342	15.187530835968404	1057
AL	AL	AL|c100493_g1	OG0001919	LOC122717230	XM_043941083.1	pancreas transcription factor 1 subunit alpha-like	226	1.0	1.0	226	0	226	39	265	813	0	True	2.0	4.3	4.491669509475636	0.23559518181391867	226
AL	AL	AL|c100518_g1	OG0002169	LOC122720935	XM_043948055.1	insulin-like growth factor 2 mRNA-binding protein 1	547	1.0	1.0	547	0	547	2484	3031	3239	0	True	136.0	7.28	7.6045009369727055	6.619061707708048	547
AL	AL	AL|c100521_g1	OG0008554	LOC122710368	XM_043928184.1	protein Smaug homolog 1	351	0.9974619289340102	1.0	394	0	393	5155	5549	8232	0	True	28.0	3.24	3.3844207466746656	1.8967510311939917	393
AL	AL	AL|c100553_g1	OG0003878	LOC122716293	XM_043939224.1	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3, transcript variant X1	271	0.9965635738831615	0.8267045454545454	291	37	328	2703	2994	2994	0	True	5.0	0.83	0.8669966727592507	0.37815703899109104	352
AL	AL	AL|c100562_g1	OG0007190	LOC122716132	XM_043938917.1	transcription factor Sox-2, transcript variant X1	1082	1.0	0.9271636675235647	1082	85	1167	0	1082	4538	0	True	661.0	11.15	11.647003495500778	15.079101041325643	1167
AL	AL	AL|c1005_g1	OG0005140	LOC122716265	XM_043939173.1	MFS-type transporter SLC18B1-like	427	0.9877551020408163	1.0	490	0	484	1772	2262	2764	0	True	118.0	8.1	8.461051866686663	6.490549905592545	484
AL	AL	AL|c100618_g1	OG0008657	LOC122711194	XM_043929737.1	protein LSM14 homolog A, transcript variant X2	617	0.9984848484848485	0.8206724782067247	660	13	672	2439	3099	3099	0	True	1432.0	40.4	42.200801902980395	47.47580316363769	803
AL	AL	AL|c100622_g1	OG0002217	LOC122712575	XM_043932341.1	microtubule-associated protein Jupiter	468	1.0	0.9551020408163265	468	7	475	3354	3822	3822	0	True	1272.0	85.04	88.83059885716467	69.1092021493988	490
AL	AL	AL|c100627_g1	OG0001803	LOC122717141	XM_043940919.1	uncharacterized LOC122717141, transcript variant X4	735	1.0	0.953307392996109	735	0	735	0	735	4140	0	True	173.0	5.19	5.42134064050664	5.973605978314262	771
AL	AL	AL|c100753_g1	OG0003779	LOC122714558	XM_043935993.1	dual specificity mitogen-activated protein kinase kinase 4, transcript variant X2	924	1.0	0.879162702188392	924	0	924	1233	2157	2157	0	True	850.0	16.44	17.17280156646034	21.530844161015118	1051
AL	AL	AL|c100795_g1	OG0002059	LOC122714367	XM_043935652.1	histidine triad nucleotide-binding protein 1	807	1.0	0.8868131868131868	807	103	910	0	807	1018	0	True	7273.0	171.31	178.9460241089003	212.7732577786673	910
AL	AL	AL|c1007_g1	OG0005977	LOC122719260	XM_043944927.1	putative uncharacterized protein DDB_G0282133	611	1.0	0.8497913769123783	611	95	706	3026	3637	3637	0	True	20.0	0.67	0.6998647840345759	0.7405356201661422	719
AL	AL	AL|c100804_g1	OG0004516	LOC122713134	XM_043933317.1	nuclear receptor coactivator 3-like, transcript variant X10	470	1.0	0.8671586715867159	470	72	542	0	470	8457	0	True	210.0	11.44	11.94993004381425	10.314896059860313	542
AL	AL	AL|c100828_g1	OG0006319	LOC122712428	XM_043932113.1	neurogenic locus Notch protein	354	1.0	1.0	354	0	354	9200	9554	9915	0	True	6.0	0.97	1.013237075393341	0.45122467025377644	354
AL	AL	AL|c100832_g1	OG0003575	LOC122720445	XM_043947186.1	serine-rich adhesin for platelets-like	394	1.0	1.0	394	0	394	7733	8127	12586	0	True	5.0	0.57	0.5954073535816541	0.33784588255041637	394
AL	AL	AL|c100847_g1	OG0001095	LOC122711686	XM_043930694.1	centromere-associated protein E-like	234	1.0	1.0	234	0	234	3409	3643	9485	0	True	0.0	0.0	0.0	0.0	234
AL	AL	AL|c100874_g1	OG0008711	LOC122711934	XR_006346231.1	uncharacterized LOC122711934, transcript variant X2	787	0.9987608426270136	1.0	807	0	807	1518	2325	3382	0	True	29.0	0.81	0.8461051866686664	0.9566857630783292	807
AL	AL	AL|c100893_g1	OG0000448	LOC122719055	XM_043944582.1	titin-like	326	1.0	1.0	326	0	326	1199	1525	50886	0	True	3.0	0.67	0.6998647840345759	0.24499008170220382	326
AL	AL	AL|c100956_g1	OG0001060	LOC122716134	XM_043938934.1	UNC93-like protein, transcript variant X2	372	1.0	0.9538461538461539	372	18	390	5184	5556	5558	0	True	63.0	7.46	7.792524311787964	4.300518203418685	390
AL	AL	AL|c100974_g1	OG0001661	LOC122713884	XM_043934696.1	exosome complex component CSL4	781	1.0	0.9799247176913425	781	16	797	0	781	803	0	True	333.0	9.5	9.923455893027569	11.123225967974838	797
AL	AL	AL|c101011_g1	OG0009153	LOC122718865	XM_043944241.1	uncharacterized LOC122718865	209	1.0	1.0	209	0	209	334	543	2940	0	True	0.0	0.0	0.0	0.0	209
AL	AL	AL|c101022_g1	OG0001881	LOC122712625	XM_043932419.1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog	501	1.0	1.0	501	0	501	70	571	2883	0	True	70.0	4.46	4.658801398200311	3.719676423449295	501
AL	AL	AL|c101033_g1	OG0003533	LOC122713361	XM_043933725.1	uncharacterized LOC122713361	365	1.0	1.0	365	0	365	3100	3465	4293	0	True	1.0	0.15	0.15668614567938266	0.07293768642458305	365
AL	AL	AL|c101088_g1	OG0008125	LOC122715853	XM_043938378.1	cytochrome c oxidase assembly protein COX16 homolog, mitochondrial	410	1.0	0.9669811320754716	410	14	424	0	410	504	0	True	449.0	42.16	44.03925267895181	28.191964008709412	424
AL	AL	AL|c101099_g1	OG0001547	LOC122716145	XM_043938944.1	calmodulin-binding transcription activator 2, transcript variant X10	823	1.0	0.9331065759637188	823	0	823	7667	8490	9700	0	True	655.0	16.12	16.83853778901099	19.77049589791065	882
