eastern_original_scaffold	eastern_accession	eastern_probe_min_position	eastern_probe_max_position	refseq_gene_parent	refseq_gene_name	refseq_scaffold	refseq_start	refseq_end	strand	product	exact_probe_hits	total_probes	probe_fraction	refseq_sodium_related_go_terms	refseq_sodium_go_match	sodium_or_ion_keyword
scaffold_8	GWHAOTM00000008	614779	631211	gene-LOC122714529	LOC122714529	NW_025222776.1	1597221	1615931	+	sodium channel protein 60E-like, transcript variant X1	16	16	1.000000	GO:0005248,GO:0035725	True	True
scaffold_8	GWHAOTM00000008	660734	661313	gene-LOC122714475	LOC122714475	NW_025222776.1	1568717	1570049	+	COMM domain-containing protein 3-like, transcript variant X1	3	3	1.000000	GO:0006814	True	False
scaffold_8	GWHAOTM00000008	1776857	1812910	gene-LOC122714442	LOC122714442	NW_025222776.1	428794	465207	-	V-type proton ATPase 116 kDa subunit a1, transcript variant X1	14	14	1.000000		False	True
scaffold_8	GWHAOTM00000008	1766688	1776163	gene-LOC122714463	LOC122714463	NW_025222776.1	465546	475232	+	ATPase H(+)-transporting accessory protein 2, transcript variant X1	9	9	1.000000		False	True
scaffold_8	GWHAOTM00000008	1556760	1674006	gene-LOC122714514	LOC122714514	NW_025222776.1	566914	689517	+	calcium-activated potassium channel slowpoke, transcript variant X1	16	16	1.000000		False	False
scaffold_8	GWHAOTM00000008	587767	595668	gene-LOC122714542	LOC122714542	NW_025222776.1	1632812	1642223	-	cilia- and flagella-associated protein 44	16	16	1.000000		False	False
scaffold_8	GWHAOTM00000008	901024	915575	gene-LOC122714484	LOC122714484	NW_025222776.1	1322599	1338339	+	ectopic P granules protein 5 homolog, transcript variant X1	16	16	1.000000		False	False
scaffold_8	GWHAOTM00000008	566260	571019	gene-LOC122714520	LOC122714520	NW_025222776.1	1658641	1663779	-	putative ATP-dependent RNA helicase TDRD12, transcript variant X1	16	16	1.000000		False	False
scaffold_8	GWHAOTM00000008	641387	645139	gene-LOC122714447	LOC122714447	NW_025222776.1	1584554	1589189	+	uncharacterized LOC122714447, transcript variant X1	16	16	1.000000		False	False
scaffold_8	GWHAOTM00000008	1025599	1499702	gene-LOC122714530	LOC122714530	NW_025222776.1	738878	1215827	-	SAM and SH3 domain-containing protein 1-like, transcript variant X1	15	16	0.937500		False	False
scaffold_8	GWHAOTM00000008	2019478	2049510	gene-LOC122714456	LOC122714456	NW_025222776.1	191997	223479	-	protein RUFY3-like, transcript variant X1	15	15	1.000000		False	False
scaffold_8	GWHAOTM00000008	672781	687465	gene-LOC122714496	LOC122714496	NW_025222776.1	1542599	1557914	+	uncharacterized LOC122714496	15	16	0.937500		False	False
scaffold_8	GWHAOTM00000008	1982155	2015238	gene-LOC122714466	LOC122714466	NW_025222776.1	226843	260331	+	soluble guanylate cyclase 89Db-like	14	16	0.875000		False	False
scaffold_8	GWHAOTM00000008	572200	582282	gene-LOC122714518	LOC122714518	NW_025222776.1	1647531	1658065	+	zinc finger protein 62 homolog	14	14	1.000000		False	False
scaffold_8	GWHAOTM00000008	474862	486254	gene-LOC122714531	LOC122714531	NW_025222776.1	1742744	1761912	-	septin-2, transcript variant X1	12	12	1.000000		False	False
scaffold_8	GWHAOTM00000008	1678638	1681973	gene-LOC122714512	LOC122714512	NW_025222776.1	559689	563506	-	set1/Ash2 histone methyltransferase complex subunit ASH2, transcript variant X1	12	12	1.000000		False	False
scaffold_8	GWHAOTM00000008	635477	638430	gene-LOC122714448	LOC122714448	NW_025222776.1	1589689	1595068	+	H(+)/Cl(-) exchange transporter 5, transcript variant X1	10	11	0.909091		False	False
scaffold_8	GWHAOTM00000008	308450	324340	gene-LOC122714457	LOC122714457	NW_025222776.1	1904739	1926388	-	gamma-aminobutyric acid receptor alpha-like	10	10	1.000000		False	False
scaffold_8	GWHAOTM00000008	284312	296297	gene-LOC122714438	LOC122714438	NW_025222776.1	1931207	1945109	+	gamma-aminobutyric acid receptor subunit beta-like, transcript variant X1	10	10	1.000000		False	False
scaffold_8	GWHAOTM00000008	218576	227263	gene-LOC122714455	LOC122714455	NW_025222776.1	2000448	2010091	-	rab proteins geranylgeranyltransferase component A 1	10	11	0.909091		False	False
scaffold_8	GWHAOTM00000008	1814997	1826772	gene-LOC122714545	LOC122714545	NW_025222776.1	414928	427074	-	glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic-like, transcript variant X1	9	9	1.000000		False	False
scaffold_8	GWHAOTM00000008	814700	851744	gene-LOC122714508	LOC122714508	NW_025222776.1	1386624	1496790	+	protein TAPT1 homolog, transcript variant X1	9	9	1.000000		False	False
scaffold_8	GWHAOTM00000008	889200	892170	gene-LOC122714450	LOC122714450	NW_025222776.1	1345851	1350258	+	protein fem-1 homolog B-like, transcript variant X1	9	9	1.000000		False	False
scaffold_8	GWHAOTM00000008	190381	194569	gene-LOC122714481	LOC122714481	NW_025222776.1	2033992	2038981	-	rap1 GTPase-GDP dissociation stimulator 1-B	9	9	1.000000		False	False
scaffold_8	GWHAOTM00000008	525643	530820	gene-LOC122714539	LOC122714539	NW_025222776.1	1698510	1704250	-	DNA replication licensing factor MCM4-like, transcript variant X1	8	8	1.000000		False	False
scaffold_8	GWHAOTM00000008	552812	556329	gene-LOC122714526	LOC122714526	NW_025222776.1	1670013	1677242	+	coiled-coil domain-containing protein 40	8	8	1.000000		False	False
