orthogroup	AL_reads	AD_reads	AL_per_million_input_R1	AD_per_million_input_R1	raw_ratio	median_normalized_ratio	panels	descriptions
OG0000001	4	0	2.0	0.0				XP_006562027.2 uncharacterized protein LOC102656904 [Apis mellifera]; XP_006562033.1 uncharacterized protein LOC102653782 isoform X1 [Apis mellifera]; XP_006610293.1 uncharacterized protein LOC102673010 [Apis dorsata]; XP_006622864.2 uncharacterized protein LOC102673743 [Apis dorsata]; XP_006622866.1 uncharacterized protein LOC102674279 [Apis dorsata]; XP_016767059.1 odorant receptor 130 isoform X1 [Apis mellifera]; XP_016772777.2 uncharacterized protein LOC102653814 [Apis mellifera]; XP_026296276.1 uncharacterized protein LOC102656221 [Apis mellifera]; XP_026296277.1 uncharacterized protein LOC102653577 [Apis mellifera]; XP_026296278.1 uncharacterized protein LOC113218546 [Apis mellifera]; XP_026300304.1 odorant receptor 131 isoform X1 [Apis mellifera]; XP_026300418.1 uncharacterized protein LOC102653778 [Apis mellifera]; XP_026300431.1 uncharacterized protein LOC102653615 [Apis mellifera]; XP_026300464.1 uncharacterized protein LOC102653695 [Apis mellifera]; XP_026300465.1 uncharacterized protein LOC102653652 [Apis mellifera]; XP_026300491.1 uncharacterized protein LOC102653738 [Apis mellifera]; XP_026300504.1 LOW QUALITY PROTEIN: uncharacterized protein LOC102653897 [Apis mellifera]; XP_026300571.1 uncharacterized protein LOC102653858 [Apis mellifera]; XP_028522099.2 uncharacterized protein LOC107996974 [Apis cerana]; XP_028522104.1 uncharacterized protein LOC107996973 isoform X1 [Apis cerana]; XP_031369706.1 uncharacterized protein LOC102675481 isoform X1 [Apis dorsata]; XP_031369710.1 uncharacterized protein LOC102674144 [Apis dorsata]; XP_031371312.1 uncharacterized protein LOC102672524 [Apis dorsata]; XP_031371314.1 uncharacterized protein LOC102672000 [Apis dorsata]; XP_031371315.1 uncharacterized protein LOC116186884 [Apis dorsata]; XP_031773267.2 uncharacterized protein LOC100863341 [Apis florea]; XP_031773269.2 uncharacterized protein LOC100863694 [Apis florea]; XP_031773293.2 uncharacterized protein LOC100864051 isoform X1 [Apis florea]; XP_031776166.2 uncharacterized protein LOC116415484 [Apis florea]; XP_043788199.1 uncharacterized protein LOC122712541 [Apis laboriosa]; XP_043788200.1 uncharacterized protein LOC122712542 [Apis laboriosa]; XP_043788202.1 uncharacterized protein LOC122712543 [Apis laboriosa]; XP_043788203.1 uncharacterized protein LOC122712544 [Apis laboriosa]; XP_043788204.1 uncharacterized protein LOC122712545 [Apis laboriosa]; XP_043788205.1 uncharacterized protein LOC122712546 [Apis laboriosa]; XP_043788206.1 uncharacterized protein LOC122712547 [Apis laboriosa]; XP_043788207.1 uncharacterized protein LOC122712548 [Apis laboriosa]; XP_043788208.1 uncharacterized protein LOC122712549 [Apis laboriosa]; XP_043797727.1 uncharacterized protein LOC122717575 [Apis laboriosa]; XP_043797728.1 uncharacterized protein LOC122717578 [Apis laboriosa]; XP_043797750.1 uncharacterized protein LOC122717593 [Apis laboriosa]; XP_043797752.1 uncharacterized protein LOC122717594 [Apis laboriosa]; XP_043797756.1 uncharacterized protein LOC122717598 [Apis laboriosa]; XP_043797766.1 uncharacterized protein LOC122717606 [Apis laboriosa]; XP_043797767.1 uncharacterized protein LOC122717607 [Apis laboriosa]; XP_043797768.1 uncharacterized protein LOC122717608 [Apis laboriosa]; XP_048260775.1 uncharacterized protein LOC110119244 [Bombus terrestris]; XP_061929853.1 odorant receptor 130 isoform X1 [Apis cerana]; XP_061929858.1 uncharacterized protein LOC133666003 isoform X2 [Apis cerana]; XP_061929862.1 uncharacterized protein LOC133666005 [Apis cerana]; XP_061929863.1 uncharacterized protein LOC133666006 [Apis cerana]; XP_061929864.1 uncharacterized protein LOC133666007 [Apis cerana]; XP_061929865.1 uncharacterized protein LOC133666008 [Apis cerana]; XP_061939493.1 uncharacterized protein LOC133667143 [Apis cerana]; XP_061939972.1 uncharacterized protein LOC133667177 [Apis cerana]; XP_061939973.1 uncharacterized protein LOC107996975 [Apis cerana]; XP_061939974.1 uncharacterized protein LOC108003934 [Apis cerana]; XP_061940018.1 uncharacterized protein LOC107996978 isoform X1 [Apis cerana]; XP_061940021.1 uncharacterized protein LOC107996979 isoform X1 [Apis cerana]; XP_061940023.1 uncharacterized protein LOC133667192 [Apis cerana]; XP_086759344.1 uncharacterized protein LOC116414682 [Apis florea]; XP_086759346.1 LOW QUALITY PROTEIN: uncharacterized protein LOC100866436 [Apis florea]; XP_086759347.1 uncharacterized protein LOC105737277 [Apis florea]; XP_086759348.1 uncharacterized protein LOC100866549 [Apis florea]; XP_086759349.1 uncharacterized protein LOC147658278 [Apis florea]; XP_086759350.1 uncharacterized protein LOC147658277 [Apis florea]; XP_086766161.1 uncharacterized protein LOC147657403 [Apis florea]; XP_086768624.1 uncharacterized protein LOC100863813 [Apis florea]; XP_086769247.1 uncharacterized protein LOC100863577 isoform X1 [Apis florea]; XP_086769287.1 uncharacterized protein LOC116414636 [Apis florea]; XP_086769298.1 uncharacterized protein LOC100869353 isoform X1 [Apis florea]; XP_086769316.1 uncharacterized protein LOC147658629 isoform X1 [Apis florea]; XP_086769330.1 uncharacterized protein LOC100863934 isoform X1 [Apis florea]
OG0000002	23160	4341	11580.0	2170.5	5.335176226675881	4.347180629143311	royal_jelly	NP_001011564.1 major royal jelly protein 8 precursor [Apis mellifera]; NP_001011579.1 major royal jelly protein 1 precursor [Apis mellifera]; NP_001011580.1 major royal jelly protein 2 precursor [Apis mellifera]; NP_001011599.1 major royal jelly protein 5 precursor [Apis mellifera]; NP_001011601.1 major royal jelly protein 3 precursor [Apis mellifera]; NP_001011610.1 major royal jelly protein 4 precursor [Apis mellifera]; NP_001011622.1 major royal jelly protein 6 precursor [Apis mellifera]; NP_001014429.1 major royal jelly protein 7 precursor [Apis mellifera]; NP_001019868.1 major royal jelly protein 9 precursor [Apis mellifera]; NP_001315408.1 major royal jelly protein 4 precursor [Apis cerana]; XP_003695156.2 major royal jelly protein 3 [Apis florea]; XP_003695157.2 major royal jelly protein 4 [Apis florea]; XP_003695161.3 major royal jelly protein 7 [Apis florea]; XP_006616416.1 major royal jelly protein 2-like isoform X2 [Apis dorsata]; XP_006616420.1 major royal jelly protein 1-like isoform X1 [Apis dorsata]; XP_006619919.1 major royal jelly protein 5-like [Apis dorsata]; XP_012344030.2 major royal jelly protein 8 [Apis florea]; XP_012344032.1 major royal jelly protein 1 [Apis florea]; XP_012344034.2 major royal jelly protein 9 [Apis florea]; XP_016911088.1 major royal jelly protein 9 [Apis cerana]; XP_016911095.1 major royal jelly protein 5 [Apis cerana]; XP_031366632.1 major royal jelly protein 5 [Apis dorsata]; XP_031366638.1 major royal jelly protein 5-like [Apis dorsata]; XP_031366639.1 protein PF14_0175-like [Apis dorsata]; XP_043784566.1 major royal jelly protein 5 [Apis laboriosa]; XP_043784567.1 major royal jelly protein 2 [Apis laboriosa]; XP_043784569.1 major royal jelly protein 5-like [Apis laboriosa]; XP_043784570.1 major royal jelly protein 1-like [Apis laboriosa]; XP_043784588.1 major royal jelly protein 3-like [Apis laboriosa]; XP_043784589.1 major royal jelly protein 4-like [Apis laboriosa]; XP_043784590.1 major royal jelly protein 1 [Apis laboriosa]; XP_043784675.1 major royal jelly protein 2-like [Apis laboriosa]; XP_043784699.1 major royal jelly protein 5-like [Apis laboriosa]; XP_048263190.1 major royal jelly protein 2-like [Bombus terrestris]; XP_061937079.1 major royal jelly protein 5 isoform X1 [Apis cerana]; XP_061937080.1 LOW QUALITY PROTEIN: uncharacterized protein LOC107997173 [Apis cerana]; XP_061937298.1 major royal jelly protein 3 [Apis cerana]; XP_061937299.1 major royal jelly protein 1 [Apis cerana]; XP_061937303.1 major royal jelly protein 8 [Apis cerana]; XP_061937306.1 major royal jelly protein 5-like [Apis cerana]; XP_086767656.1 major royal jelly protein 6, partial [Apis florea]; XP_086770658.1 major royal jelly protein 2-like [Apis florea]; XP_086770697.1 major royal jelly protein 6-like [Apis florea]; XP_086770718.1 major royal jelly protein 5 [Apis florea]; XP_086770727.1 major royal jelly protein 6 [Apis florea]
OG0000003	15	1	7.5	0.5	15.0	12.222222222222221		NP_001229902.1 odorant receptor 41 [Apis mellifera]; XP_003250750.1 odorant receptor 82a-like [Apis mellifera]; XP_003250751.1 odorant receptor 4-like [Apis mellifera]; XP_003250754.2 odorant receptor 4-like [Apis mellifera]; XP_003691287.1 odorant receptor 10-like [Apis florea]; XP_003691288.1 odorant receptor 10-like [Apis florea]; XP_003691293.1 odorant receptor 10-like [Apis florea]; XP_003691469.2 LOW QUALITY PROTEIN: odorant receptor 4-like [Apis florea]; XP_006565886.1 odorant receptor 37 isoform X1 [Apis mellifera]; XP_006565953.2 uncharacterized protein LOC107963966 [Apis mellifera]; XP_006565958.1 odorant receptor 82a-like [Apis mellifera]; XP_006615236.1 odorant receptor 4-like [Apis dorsata]; XP_006615237.1 odorant receptor 4-like [Apis dorsata]; XP_006615238.1 odorant receptor 82a-like isoform X2 [Apis dorsata]; XP_006615240.1 odorant receptor 4-like [Apis dorsata]; XP_006615242.1 odorant receptor 4-like [Apis dorsata]; XP_006615243.1 uncharacterized protein LOC102676467 isoform X1 [Apis dorsata]; XP_016773534.1 uncharacterized protein LOC100577226 isoform X1 [Apis mellifera]; XP_016773535.1 uncharacterized protein LOC100576816 isoform X1 [Apis mellifera]; XP_016773539.1 odorant receptor 4-like [Apis mellifera]; XP_016910285.3 odorant receptor 4-like [Apis cerana]; XP_016910423.1 odorant receptor 4-like [Apis cerana]; XP_016910451.2 odorant receptor 4-like [Apis cerana]; XP_026294766.1 odorant receptor 4-like [Apis mellifera]; XP_031366087.1 uncharacterized protein LOC102676182 isoform X1 [Apis dorsata]; XP_031770820.1 odorant receptor 4-like isoform X1 [Apis florea]; XP_031770824.1 uncharacterized protein LOC100864463 isoform X1 [Apis florea]; XP_031770826.2 odorant receptor 10-like isoform X1 [Apis florea]; XP_043803266.1 odorant receptor 82a-like [Apis laboriosa]; XP_043803269.1 odorant receptor 94b-like [Apis laboriosa]; XP_043803272.1 odorant receptor 4-like isoform X2 [Apis laboriosa]; XP_043803275.1 odorant receptor 82a-like [Apis laboriosa]; XP_043803277.1 odorant receptor 82a-like [Apis laboriosa]; XP_043803278.1 odorant receptor 4-like [Apis laboriosa]; XP_043803279.1 odorant receptor 4-like [Apis laboriosa]; XP_061927036.1 odorant receptor 94b-like isoform X1 [Apis cerana]; XP_061927037.1 odorant receptor 4-like isoform X1 [Apis cerana]; XP_061927047.1 uncharacterized protein LOC133665670 [Apis cerana]; XP_061927048.1 odorant receptor 4-like isoform X1 [Apis cerana]; XP_061927050.1 odorant receptor 4-like [Apis cerana]; XP_061927965.1 uncharacterized protein LOC114577384 [Apis cerana]; XP_086771267.1 odorant receptor 10-like isoform X1 [Apis florea]; XP_086771270.1 odorant receptor 10-like isoform X1 [Apis florea]; XP_086771291.1 uncharacterized protein LOC147656441 isoform X2 [Apis florea]
OG0000004	11	13	5.5	6.5	0.8461538461538461	0.6894586894586895		XP_003697885.1 uncharacterized protein LOC100866826 isoform X1 [Apis florea]; XP_006620608.1 uncharacterized protein LOC102675919 [Apis dorsata]; XP_016916210.2 uncharacterized protein LOC108000414 isoform X1 [Apis cerana]; XP_026301522.1 uncharacterized protein LOC552490 [Apis mellifera]; XP_043784684.1 uncharacterized protein LOC122710713 isoform X1 [Apis laboriosa]; XP_048260247.1 uncharacterized protein LOC125384706 [Bombus terrestris]; XP_048260248.1 uncharacterized protein LOC125384707 [Bombus terrestris]; XP_048260420.1 uncharacterized protein LOC125384729 isoform X1 [Bombus terrestris]; XP_048260423.1 uncharacterized protein LOC125384730 isoform X1 [Bombus terrestris]; XP_048260426.1 uncharacterized protein LOC125384731 [Bombus terrestris]; XP_048260572.1 uncharacterized protein LOC125384752 [Bombus terrestris]; XP_048260577.1 uncharacterized protein LOC125384754 [Bombus terrestris]; XP_048260598.1 uncharacterized protein LOC125384768 isoform X1 [Bombus terrestris]; XP_048260601.1 uncharacterized protein LOC125384769 [Bombus terrestris]; XP_048260632.1 uncharacterized protein LOC125384779 isoform X1 [Bombus terrestris]; XP_048260645.1 uncharacterized protein LOC125384788 [Bombus terrestris]; XP_048260890.1 uncharacterized protein LOC125384864 isoform X1 [Bombus terrestris]; XP_048260892.1 uncharacterized protein LOC125384865 isoform X1 [Bombus terrestris]; XP_048260902.1 uncharacterized protein LOC125384866 [Bombus terrestris]; XP_048260903.1 uncharacterized protein LOC125384867 [Bombus terrestris]; XP_048261031.1 uncharacterized protein LOC125384911 [Bombus terrestris]; XP_048261032.1 uncharacterized protein LOC125384912 [Bombus terrestris]; XP_048261033.1 uncharacterized protein LOC125384913 [Bombus terrestris]; XP_048261034.1 uncharacterized protein LOC125384914 isoform X1 [Bombus terrestris]; XP_048261047.1 uncharacterized protein LOC125384918 [Bombus terrestris]; XP_048261048.1 uncharacterized protein LOC125384919 [Bombus terrestris]; XP_048261347.1 uncharacterized protein LOC125384998 [Bombus terrestris]; XP_048261352.1 uncharacterized protein LOC125385000 [Bombus terrestris]; XP_048261356.1 uncharacterized protein LOC125385004 [Bombus terrestris]; XP_048261361.1 uncharacterized protein LOC125385006 [Bombus terrestris]; XP_048261470.1 uncharacterized protein LOC125385027 [Bombus terrestris]; XP_048270130.1 uncharacterized protein LOC100650186 isoform X1 [Bombus terrestris]; XP_048270134.1 uncharacterized protein LOC125386999 [Bombus terrestris]; XP_048270557.1 uncharacterized protein LOC125387198 [Bombus terrestris]; XP_048270559.1 uncharacterized protein LOC125387199 isoform X1 [Bombus terrestris]; XP_048270628.1 uncharacterized protein LOC125387211 isoform X1 [Bombus terrestris]; XP_048270692.1 uncharacterized protein LOC125387223 [Bombus terrestris]; XP_048270694.1 uncharacterized protein LOC125387227 isoform X1 [Bombus terrestris]
OG0000005	3283	960	1641.5	480.0	3.419791666666667	2.786496913580247		NP_001035295.1 odorant binding protein 16 precursor [Apis mellifera]; NP_001035296.1 odorant binding protein 21 precursor [Apis mellifera]; NP_001035297.1 odorant binding protein 17 precursor [Apis mellifera]; NP_001035298.1 odorant binding protein 15 precursor [Apis mellifera]; NP_001035299.1 odorant binding protein 19 precursor [Apis mellifera]; NP_001035313.1 odorant binding protein 14 precursor [Apis mellifera]; NP_001035317.1 odorant binding protein 18 precursor [Apis mellifera]; XP_003695913.3 uncharacterized protein LOC100872137 [Apis florea]; XP_006609097.1 uncharacterized protein LOC102673442 [Apis dorsata]; XP_006609098.1 uncharacterized protein LOC102673582 [Apis dorsata]; XP_006609099.2 uncharacterized protein LOC102673708 [Apis dorsata]; XP_006609100.1 uncharacterized protein LOC102673841 [Apis dorsata]; XP_006609101.1 uncharacterized protein LOC102674014 [Apis dorsata]; XP_006609102.1 uncharacterized protein LOC102674156 [Apis dorsata]; XP_012344854.2 uncharacterized protein LOC100866978 [Apis florea]; XP_012345075.2 uncharacterized protein LOC100871543 [Apis florea]; XP_016916883.1 odorant binding protein 14 [Apis cerana]; XP_016916884.2 uncharacterized protein LOC108000785 [Apis cerana]; XP_016916885.1 uncharacterized protein LOC108000787 [Apis cerana]; XP_031773734.1 B2 protein [Apis florea]; XP_043790389.1 uncharacterized protein LOC122713730 [Apis laboriosa]; XP_043790390.1 uncharacterized protein LOC122713731 [Apis laboriosa]; XP_043790392.1 uncharacterized protein LOC122713732 [Apis laboriosa]; XP_043790393.1 uncharacterized protein LOC122713733 [Apis laboriosa]; XP_043790657.1 uncharacterized protein LOC122713896 [Apis laboriosa]; XP_043801671.1 uncharacterized protein LOC122719694, partial [Apis laboriosa]; XP_061941405.1 uncharacterized protein LOC133667370 [Apis cerana]; XP_061941406.1 uncharacterized protein LOC108003356 [Apis cerana]; XP_061941407.1 uncharacterized protein LOC133667372 [Apis cerana]; XP_061941408.1 uncharacterized protein LOC133667373 [Apis cerana]; XP_086758872.1 odorant binding protein 19 [Apis florea]; XP_086758874.1 uncharacterized protein LOC100868810 [Apis florea]; XP_086758875.1 odorant binding protein 15 [Apis florea]; XP_086758876.1 odorant binding protein 14 [Apis florea]
OG0000007	1034	3022	517.0	1511.0	0.34215751158173396	0.2787950094369684	lipase	XP_006608022.2 pancreatic lipase-related protein 2-like isoform X1 [Apis dorsata]; XP_006608023.2 pancreatic lipase-related protein 2-like [Apis dorsata]; XP_006608025.2 uncharacterized protein LOC102671466 [Apis dorsata]; XP_006608026.1 lipase member H-A-like [Apis dorsata]; XP_006625218.2 uncharacterized protein LOC102676124, partial [Apis dorsata]; XP_012168805.1 pancreatic lipase-related protein 2 [Bombus terrestris]; XP_016770795.1 pancreatic lipase-related protein 2 [Apis mellifera]; XP_016770799.1 pancreatic triacylglycerol lipase isoform X1 [Apis mellifera]; XP_016770806.2 uncharacterized protein LOC727037 isoform X1 [Apis mellifera]; XP_016919496.1 uncharacterized protein LOC108002363 [Apis cerana]; XP_016919503.1 pancreatic lipase-related protein 3 isoform X1 [Apis cerana]; XP_016919506.2 lipase member H-A-like isoform X1 [Apis cerana]; XP_026299638.1 lipase member H-A [Apis mellifera]; XP_031366379.1 pancreatic triacylglycerol lipase-like [Apis dorsata]; XP_031776481.2 uncharacterized protein LOC105737398 [Apis florea]; XP_043801520.1 lipase member H-A-like [Apis laboriosa]; XP_043801525.1 pancreatic triacylglycerol lipase-like [Apis laboriosa]; XP_043801526.1 lipase member H-like [Apis laboriosa]; XP_043801527.1 pancreatic triacylglycerol lipase-like [Apis laboriosa]; XP_043801528.1 pancreatic lipase-related protein 2-like [Apis laboriosa]; XP_043801529.1 pancreatic lipase-related protein 2-like [Apis laboriosa]; XP_048265853.1 pancreatic triacylglycerol lipase isoform X1 [Bombus terrestris]; XP_061937642.1 uncharacterized protein LOC133665638 [Apis cerana]; XP_061937643.1 uncharacterized protein LOC108002364 [Apis cerana]; XP_061937645.1 pancreatic lipase-related protein 2 [Apis cerana]; XP_061937866.1 lipase member H-A-like [Apis cerana]; XP_086768480.1 pancreatic lipase-related protein 2-like [Apis florea]; XP_086768659.1 lipase member H-A isoform X1 [Apis florea]; XP_086768662.1 pancreatic triacylglycerol lipase [Apis florea]; XP_086768663.1 pancreatic triacylglycerol lipase [Apis florea]; XP_086768699.1 pancreatic triacylglycerol lipase-like [Apis florea]; XP_086768715.1 uncharacterized protein LOC100873034 [Apis florea]
OG0000008	1446	1376	723.0	688.0	1.0508720930232558	0.856266149870801		XP_003250569.2 glucose dehydrogenase [FAD, quinone] [Apis mellifera]; XP_003251148.1 glucose dehydrogenase [FAD, quinone] [Apis mellifera]; XP_003697554.2 glucose dehydrogenase [FAD, quinone]-like [Apis florea]; XP_006565513.1 glucose dehydrogenase [FAD, quinone] [Apis mellifera]; XP_006568008.2 glucose dehydrogenase [FAD, quinone]-like [Apis mellifera]; XP_006608741.1 glucose dehydrogenase [FAD, quinone]-like [Apis dorsata]; XP_012168741.2 glucose dehydrogenase [FAD, quinone] [Bombus terrestris]; XP_016906126.2 glucose dehydrogenase [FAD, quinone] [Apis cerana]; XP_016907325.1 glucose dehydrogenase [FAD, quinone] [Apis cerana]; XP_016907326.2 glucose dehydrogenase [FAD, quinone]-like [Apis cerana]; XP_016914497.2 glucose dehydrogenase [FAD, quinone] [Apis cerana]; XP_028521143.2 glucose dehydrogenase [FAD, quinone]-like isoform X1 [Apis cerana]; XP_031369714.1 glucose dehydrogenase [FAD, quinone]-like, partial [Apis dorsata]; XP_031369718.1 glucose dehydrogenase [FAD, quinone]-like, partial [Apis dorsata]; XP_031369724.1 glucose dehydrogenase [FAD, quinone]-like [Apis dorsata]; XP_031369741.1 glucose dehydrogenase [FAD, quinone]-like isoform X2 [Apis dorsata]; XP_031771812.1 glucose dehydrogenase [FAD, quinone] [Apis florea]; XP_031775019.2 glucose dehydrogenase [FAD, quinone]-like [Apis florea]; XP_031775020.2 glucose dehydrogenase [FAD, quinone]-like [Apis florea]; XP_043792691.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]; XP_043795907.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]; XP_043799761.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]; XP_043799762.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]; XP_043799764.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]; XP_043799765.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]; XP_086769299.1 glucose dehydrogenase [FAD, quinone] [Apis florea]; XP_086769491.1 LOW QUALITY PROTEIN: glucose dehydrogenase [FAD, quinone]-like [Apis florea]; XP_392145.3 glucose dehydrogenase [FAD, quinone] [Apis mellifera]; XP_394210.5 glucose dehydrogenase [FAD, quinone] [Apis mellifera]
OG0000009	183	126	91.5	63.0	1.4523809523809523	1.18342151675485		XP_001122575.3 farnesyl pyrophosphate synthase-like [Apis mellifera]; XP_006572097.2 farnesyl pyrophosphate synthase [Apis mellifera]; XP_006622870.1 farnesyl pyrophosphate synthase-like [Apis dorsata]; XP_006622878.2 farnesyl pyrophosphate synthase-like [Apis dorsata]; XP_012168914.1 farnesyl pyrophosphate synthase-like isoform X1 [Bombus terrestris]; XP_016772838.2 farnesyl pyrophosphate synthase [Apis mellifera]; XP_026300396.1 farnesyl pyrophosphate synthase [Apis mellifera]; XP_026300397.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis mellifera]; XP_026300402.1 farnesyl pyrophosphate synthase isoform X1 [Apis mellifera]; XP_026300405.1 farnesyl pyrophosphate synthase [Apis mellifera]; XP_031369703.1 farnesyl pyrophosphate synthase-like [Apis dorsata]; XP_031369704.1 farnesyl pyrophosphate synthase-like [Apis dorsata]; XP_031369705.1 farnesyl pyrophosphate synthase-like [Apis dorsata]; XP_043797655.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis laboriosa]; XP_043797658.1 farnesyl pyrophosphate synthase-like [Apis laboriosa]; XP_043797713.1 farnesyl pyrophosphate synthase-like [Apis laboriosa]; XP_043797784.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis laboriosa]; XP_043797813.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis laboriosa]; XP_061939986.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis cerana]; XP_061939988.1 farnesyl pyrophosphate synthase-like isoform X1 [Apis cerana]; XP_061940001.1 farnesyl pyrophosphate synthase-like [Apis cerana]; XP_061940002.1 farnesyl pyrophosphate synthase-like [Apis cerana]; XP_061940004.1 farnesyl pyrophosphate synthase-like [Apis cerana]; XP_061940005.1 farnesyl pyrophosphate synthase isoform X1 [Apis cerana]; XP_086768619.1 farnesyl pyrophosphate synthase-like [Apis florea]; XP_086769071.1 farnesyl pyrophosphate synthase-like [Apis florea]; XP_086769078.1 farnesyl pyrophosphate synthase-like [Apis florea]; XP_086769088.1 farnesyl pyrophosphate synthase isoform X1 [Apis florea]; XP_086769112.1 farnesyl pyrophosphate synthase-like [Apis florea]
OG0000010	219	201	109.5	100.5	1.0895522388059702	0.8877833056937535	lipase	XP_003693107.1 phospholipase B1, membrane-associated [Apis florea]; XP_006571990.1 phospholipase B1, membrane-associated isoform X1 [Apis mellifera]; XP_006608907.1 phospholipase B1, membrane-associated-like [Apis dorsata]; XP_006618664.1 phospholipase B1, membrane-associated-like [Apis dorsata]; XP_006618961.1 phospholipase B1, membrane-associated-like [Apis dorsata]; XP_012343993.3 phospholipase B1, membrane-associated isoform X1 [Apis florea]; XP_016910762.1 phospholipase B1, membrane-associated isoform X1 [Apis cerana]; XP_016910776.1 phospholipase B1, membrane-associated [Apis cerana]; XP_016914441.2 phospholipase B1, membrane-associated [Apis cerana]; XP_016914825.2 phospholipase B1, membrane-associated isoform X1 [Apis cerana]; XP_026297715.1 phospholipase B1, membrane-associated-like isoform X1 [Apis mellifera]; XP_026300528.1 phospholipase B1, membrane-associated-like isoform X1 [Apis mellifera]; XP_031370461.1 phospholipase B1, membrane-associated-like [Apis dorsata]; XP_031773284.1 phospholipase B1, membrane-associated isoform X1 [Apis florea]; XP_031773302.1 phospholipase B1, membrane-associated-like [Apis florea]; XP_043795673.1 phospholipase B1, membrane-associated-like [Apis laboriosa]; XP_043795819.1 phospholipase B1, membrane-associated-like [Apis laboriosa]; XP_043797705.1 phospholipase B1, membrane-associated-like isoform X1 [Apis laboriosa]; XP_043797716.1 phospholipase B1, membrane-associated-like isoform X1 [Apis laboriosa]; XP_043797736.1 phospholipase B1, membrane-associated-like [Apis laboriosa]; XP_048269589.1 phospholipase B1, membrane-associated [Bombus terrestris]; XP_048269590.1 phospholipase B1, membrane-associated isoform X1 [Bombus terrestris]; XP_048269620.1 phospholipase B1, membrane-associated [Bombus terrestris]; XP_048269634.1 phospholipase B1, membrane-associated-like [Bombus terrestris]; XP_048269763.1 phospholipase B1, membrane-associated-like [Bombus terrestris]; XP_048269765.1 phospholipase B1, membrane-associated isoform X1 [Bombus terrestris]; XP_086766531.1 phospholipase B1, membrane-associated [Apis florea]; XP_624193.2 phospholipase B1, membrane-associated [Apis mellifera]
OG0000011	1	0	0.5	0.0				XP_006613362.1 katanin p60 ATPase-containing subunit A-like 2 [Apis dorsata]; XP_012342392.2 katanin p60 ATPase-containing subunit A-like 2 isoform X1 [Apis florea]; XP_016768427.2 katanin p60 ATPase-containing subunit A-like 2 [Apis mellifera]; XP_016917775.1 katanin p60 ATPase-containing subunit A-like 2 isoform X1 [Apis cerana]; XP_043800192.1 katanin p60 ATPase-containing subunit A-like 2 [Apis laboriosa]; XP_048262513.1 katanin p60 ATPase-containing subunit A-like 2, partial [Bombus terrestris]; XP_048262583.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048262585.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048265415.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048265416.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048265418.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048265419.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048265420.1 LOW QUALITY PROTEIN: katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270150.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270151.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270152.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270153.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270154.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270155.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270157.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270160.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270161.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270162.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270163.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270164.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270165.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270167.1 katanin p60 ATPase-containing subunit A-like 2 [Bombus terrestris]; XP_048270243.1 cell division control protein 48-like [Bombus terrestris]
