bee_species	orthogroup	bee_protein	closest_class	all_long_isoforms_agree	best_Kkv_score	best_Chs2_score	Kkv_identity	Chs2_identity	AL_raw_reads_in_group	AD_raw_reads_in_group	AL_AD_group_median_normalized_ratio
Apis_mellifera	OG0000875	XP_016767448.1	CHS-A_cuticle_trachea	True	2957.5	2325.5	0.43722304283604135	0.4229534510433387	28	20	1.1407407407407406
Apis_mellifera	OG0000293	XP_016770736.1	CHS-A_cuticle_trachea	True	5631.0	2965.5	0.6946068875893437	0.5038880248833593	465	2	189.44444444444443
Apis_cerana	OG0000293	XP_016906995.1	CHS-A_cuticle_trachea	True	5467.5	2945.5	0.6705653021442495	0.49382716049382713	465	2	189.44444444444443
Apis_dorsata	OG0000875	XP_031365929.1	CHS-A_cuticle_trachea	True	2707.5	2300.5	0.4425566343042071	0.415	28	20	1.1407407407407406
Apis_dorsata	OG0000293	XP_031370714.1	CHS-A_cuticle_trachea	True	5623.0	2960.0	0.6966145833333334	0.5027237354085603	465	2	189.44444444444443
Apis_laboriosa	OG0000875	XP_043794468.1	CHS-A_cuticle_trachea	True	2975.0	2372.0	0.42735042735042733	0.41712926249008725	28	20	1.1407407407407406
Apis_laboriosa	OG0000293	XP_043801530.1	CHS-A_cuticle_trachea	True	5454.0	2955.0	0.669921875	0.5011673151750973	465	2	189.44444444444443
Apis_cerana	OG0000875	XP_061942524.1	CHS-A_cuticle_trachea	True	2989.5	2319.0	0.43858381502890176	0.411214953271028	28	20	1.1407407407407406
Apis_florea	OG0000875	XP_086768172.1	CHS-A_cuticle_trachea	True	2853.0	2321.5	0.43186895011169024	0.42735768903993204	28	20	1.1407407407407406
Apis_florea	OG0000293	XP_086768684.1	CHS-A_cuticle_trachea	True	5548.0	2915.5	0.6959635416666666	0.5019334880123744	465	2	189.44444444444443
