run_accession	species	location	assembly	start_1based	end_1based	mean_fragment_depth
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650749	650848	61.2000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650849	650948	56.9900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	650949	651048	46.5200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651049	651148	55.0300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651149	651248	48.4500
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651249	651348	49.0600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651349	651448	51.3000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651449	651548	48.3500
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651549	651648	45.3800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651649	651748	42.8400
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651749	651848	44.4800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651849	651948	51.7900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	651949	652048	54.8400
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652049	652148	46.8500
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652149	652248	56.6700
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652249	652348	54.9700
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652349	652448	42.2900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652449	652548	50.6800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652549	652648	49.0800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652649	652748	40.5700
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652749	652848	48.0100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652849	652948	53.3900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	652949	653048	45.2800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653049	653148	41.5600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653149	653248	39.9800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653249	653348	40.5200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653349	653448	40.8200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653449	653548	47.2000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653549	653648	59.1000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653649	653748	53.3700
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653749	653848	46.8100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653849	653948	59.3800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	653949	654048	46.0500
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654049	654148	42.5500
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654149	654248	52.5900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654249	654348	52.3900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654349	654448	52.3200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654449	654548	50.4300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654549	654648	44.8300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654649	654748	42.4600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654749	654848	46.1200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654849	654948	40.5400
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	654949	655048	52.1200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655049	655148	51.3800
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655149	655248	49.3400
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655249	655348	43.5000
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655349	655448	47.0600
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655449	655548	51.8200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655549	655648	48.7400
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655649	655748	33.5100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655749	655848	45.3300
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655849	655948	49.6200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	655949	656048	44.6100
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656049	656148	46.4900
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656149	656248	51.4200
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656249	656348	44.1500
SRR23343438	Apis dorsata	China: Yunnan, Puer	AL_Shangrila	656349	656448	48.1000
