species	gene	accession	length_aa	description
Apis_laboriosa	ATP6	YP_009440913.1	225	YP_009440913.1 ATP synthase F0 subunit 6 (mitochondrion) [Apis laboriosa]
Apis_laboriosa	ATP8	YP_009440912.1	52	YP_009440912.1 ATP synthase F0 subunit 8 (mitochondrion) [Apis laboriosa]
Apis_laboriosa	COX1	YP_009440910.3	521	YP_009440910.3 cytochrome c oxidase subunit I (mitochondrion) [Apis laboriosa]
Apis_laboriosa	COX2	YP_009440911.1	227	YP_009440911.1 cytochrome c oxidase subunit II (mitochondrion) [Apis laboriosa]
Apis_laboriosa	COX3	YP_009440914.1	259	YP_009440914.1 cytochrome c oxidase subunit III (mitochondrion) [Apis laboriosa]
Apis_laboriosa	CYTB	YP_009440920.1	382	YP_009440920.1 cytochrome b (mitochondrion) [Apis laboriosa]
Apis_laboriosa	LOC122710291	XP_043784384.1	1165	XP_043784384.1 endoplasmic reticulum transmembrane helix translocase [Apis laboriosa]
Apis_laboriosa	LOC122710292	XP_043783978.1	1281	XP_043783978.1 ubiquitin carboxyl-terminal hydrolase 47 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710293	XP_043783986.1	322	XP_043783986.1 sodium/potassium-transporting ATPase subunit beta-2-like [Apis laboriosa]
Apis_laboriosa	LOC122710294	XP_043783983.1	271	XP_043783983.1 syntaxin-7 [Apis laboriosa]
Apis_laboriosa	LOC122710295	XP_043783985.1	223	XP_043783985.1 NADH-quinone oxidoreductase subunit B 2-like [Apis laboriosa]
Apis_laboriosa	LOC122710296	XP_043783987.1	493	XP_043783987.1 forkhead box protein E1-like [Apis laboriosa]
Apis_laboriosa	LOC122710299	XP_043783988.1	2272	XP_043783988.1 uncharacterized protein LOC122710299 [Apis laboriosa]
Apis_laboriosa	LOC122710300	XP_043783989.1	332	XP_043783989.1 ADP,ATP carrier protein-like [Apis laboriosa]
Apis_laboriosa	LOC122710302	XP_043783990.1	576	XP_043783990.1 glutamate receptor ionotropic, NMDA 2B-like, partial [Apis laboriosa]
Apis_laboriosa	LOC122710303	XP_043783991.1	1039	XP_043783991.1 hamartin [Apis laboriosa]
Apis_laboriosa	LOC122710305	XP_043783992.1	592	XP_043783992.1 major facilitator superfamily domain-containing protein 6 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710306	XP_043783994.1	523	XP_043783994.1 uncharacterized protein LOC122710306 [Apis laboriosa]
Apis_laboriosa	LOC122710307	XP_043783995.1	2774	XP_043783995.1 small subunit processome component 20 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710308	XP_043783996.1	275	XP_043783996.1 negative elongation factor E [Apis laboriosa]
Apis_laboriosa	LOC122710309	XP_043783997.1	194	XP_043783997.1 uncharacterized protein CG1161 [Apis laboriosa]
Apis_laboriosa	LOC122710310	XP_043783998.1	317	XP_043783998.1 abasic site processing protein HMCES [Apis laboriosa]
Apis_laboriosa	LOC122710311	XP_043784003.1	141	XP_043784003.1 protein pinocchio [Apis laboriosa]
Apis_laboriosa	LOC122710312	XP_043783999.1	1397	XP_043783999.1 rootletin isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710313	XP_043784004.1	952	XP_043784004.1 G patch domain-containing protein 1 homolog [Apis laboriosa]
Apis_laboriosa	LOC122710314	XP_043784005.1	583	XP_043784005.1 glomulin [Apis laboriosa]
Apis_laboriosa	LOC122710315	XP_043784006.1	422	XP_043784006.1 suppressor of cytokine signaling 4-like [Apis laboriosa]
Apis_laboriosa	LOC122710316	XP_043784007.1	359	XP_043784007.1 uncharacterized protein LOC122710316 [Apis laboriosa]
Apis_laboriosa	LOC122710317	XP_043784056.1	878	XP_043784056.1 uncharacterized protein LOC122710317 [Apis laboriosa]
Apis_laboriosa	LOC122710318	XP_043784016.1	438	XP_043784016.1 zinc finger CCCH domain-containing protein 13-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710319	XP_043784012.1	281	XP_043784012.1 ubiquinone biosynthesis protein COQ9, mitochondrial [Apis laboriosa]
Apis_laboriosa	LOC122710320	XP_043784013.1	229	XP_043784013.1 nuclear transcription factor Y subunit B-1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710321	XP_043784015.1	1626	XP_043784015.1 uncharacterized protein LOC122710321 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710322	XP_043784019.1	573	XP_043784019.1 protein SCAI isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710323	XP_043784022.1	2350	XP_043784022.1 uncharacterized protein LOC122710323 isoform X2 [Apis laboriosa]
Apis_laboriosa	LOC122710324	XP_043784023.1	865	XP_043784023.1 uncharacterized protein LOC122710324 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710325	XP_043784026.1	461	XP_043784026.1 TSC22 domain family protein 1 isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710326	XP_043784030.1	390	XP_043784030.1 L-lactate dehydrogenase A-like 6A [Apis laboriosa]
Apis_laboriosa	LOC122710327	XP_043784032.1	348	XP_043784032.1 L-lactate dehydrogenase A-like 6A [Apis laboriosa]
Apis_laboriosa	LOC122710328	XP_043784033.1	335	XP_043784033.1 L-lactate dehydrogenase-like isoform X1 [Apis laboriosa]
Apis_laboriosa	LOC122710329	XP_043784037.1	1006	XP_043784037.1 trifunctional purine biosynthetic protein adenosine-3 [Apis laboriosa]
Apis_laboriosa	LOC122710330	XP_043784035.1	103	XP_043784035.1 uncharacterized protein LOC122710330 [Apis laboriosa]
