query_species	reference_species	unigene	count	fpkm	tpm_submitted	tpm_length	length	group	product	unique_group
AL	AL	AL|c18803_g1	1928532.0	39460.62	41219.54969279174	50934.39655819196	1008			
AL	AL	AL|c44877_g2	1403702.0	5340.19	5578.225255303883	8739.409109679473	4276			
AL	AL	AL|c99005_g1	1156214.0	55631.88	58111.63236065289	53162.39131722831	579			
AL	AL	AL|c38442_g1	1090637.0	6761.59	7062.9831717617135	10655.125475523857	2725			
AL	AL	AL|c57882_g1	951564.0	13052.48	13634.285218381525	18423.839982106554	1375			
AL	AL	AL|c44343_g3	877611.0	7705.61	8049.082206723386	11676.154078500316	2001			
AL	AL	AL|c33563_g1	690089.0	5658.96	5911.204206358661	8649.588374187733	2124	OG0001694	cytochrome P450 4g15	True
AL	AL	AL|c43394_g1	677644.0	6718.51	7017.982910722595	10011.327267767787	1802	OG0000169	alpha-glucosidase-like	True
AL	AL	AL|c36677_g1	653511.0	20732.7	21656.845683512915	23415.796559153063	743			
AL	AL	AL|c42514_g1	545503.0	6067.07	6337.50542578008	8593.207258313198	1690	OG0000002	major royal jelly protein 2, transcript variant X1	True
AL	AL	AL|c47342_g12	512915.0	2987.1	3120.2479050592265	4734.7275321947745	2884			
AL	AL	AL|c26434_g1	425173.0	12406.28	12959.281302794743	14419.190136079902	785			
AL	AL	AL|c33846_g1	422019.0	13760.17	14373.520007953806	15390.544743608056	730			
AL	AL	AL|c34540_g1	408891.0	20996.74	21932.65508288081	19473.346497387258	559	OG0000096	ejaculatory bulb-specific protein 3-like	True
AL	AL	AL|c33601_g2	383351.0	2728.08	2849.6822687000686	4238.234337799366	2408			
AL	AL	AL|c47784_g2	372718.34	892.17	931.9378572718322	1027.7165089361017	9655			
AL	AL	AL|c40667_g1	363862.0	2598.67	2714.5039079509424	4036.1779779603735	2400			
AL	AL	AL|c42394_g2	349907.0	1408.73	1471.523160019445	2297.2413245313937	4055			
AL	AL	AL|c27933_g1	333196.0	5434.32	5676.551034589218	7404.364823508148	1198			
AL	AL	AL|c42514_g2	322029.0	3987.46	4165.198256338075	5734.540689559899	1495	OG0000002	major royal jelly protein 1	True
AL	AL	AL|c6846_g1	317397.0	11315.16	11819.525387636822	12246.12180175034	690	OG0003606	probable salivary secreted peptide	True
AL	AL	AL|c41491_g1	295966.0	2277.81	2379.3417965996973	3508.1400198679535	2246	OG0000897	fructose-bisphosphate aldolase, transcript variant X1	True
AL	AL	AL|c34505_g2	277238.0	7397.13	7726.851925262212	8849.76125033234	834	OG0000148	uncharacterized LOC122716915	True
AL	AL	AL|c33590_g1	273211.0	1566.04	1635.845143864936	2485.814442822135	2926			
AL	AL	AL|c22613_g1	271457.0	2135.45	2230.6361986069182	3280.4346906362616	2203			
AL	AL	AL|c39798_g1	269504.0	1992.81	2081.6381198088707	3083.28507021588	2327	OG0000636	heat shock 70 kDa protein cognate 4	True
AL	AL	AL|c40735_g1	244375.0	721.69	753.8588298356912	1197.462488275857	5433			
AL	AL	AL|c41550_g1	233068.0	3316.1	3463.912851249339	4647.78715756983	1335			
AL	AL	AL|c22591_g1	229765.0	4314.08	4506.377115683408	5690.104693293654	1075	OG0008770	trypsin alpha-3-like	True
AL	AL	AL|c79_g1	204656.0	1761.48	1839.9967459421264	2676.0335613025322	2036			
AL	AD	AL|c18803_g1	1928532.0	39460.62	41219.54969279174	50934.39655819196	1008			
AL	AD	AL|c44877_g2	1403702.0	5340.19	5578.225255303883	8739.409109679473	4276			
AL	AD	AL|c99005_g1	1156214.0	55631.88	58111.63236065289	53162.39131722831	579			
AL	AD	AL|c38442_g1	1090637.0	6761.59	7062.9831717617135	10655.125475523857	2725			
AL	AD	AL|c57882_g1	951564.0	13052.48	13634.285218381525	18423.839982106554	1375			
AL	AD	AL|c44343_g3	877611.0	7705.61	8049.082206723386	11676.154078500316	2001			
AL	AD	AL|c33563_g1	690089.0	5658.96	5911.204206358661	8649.588374187733	2124	OG0001694	cytochrome P450 4g15	True
AL	AD	AL|c43394_g1	677644.0	6718.51	7017.982910722595	10011.327267767787	1802	UNGROUPED:LOC102679784	alpha-glucosidase pseudogene	True
AL	AD	AL|c36677_g1	653511.0	20732.7	21656.845683512915	23415.796559153063	743			
AL	AD	AL|c42514_g1	545503.0	6067.07	6337.50542578008	8593.207258313198	1690			
AL	AD	AL|c47342_g12	512915.0	2987.1	3120.2479050592265	4734.7275321947745	2884	OG0007439	transferrin	True
AL	AD	AL|c26434_g1	425173.0	12406.28	12959.281302794743	14419.190136079902	785	OG0000329	hymenoptaecin, transcript variant X1	True
AL	AD	AL|c33846_g1	422019.0	13760.17	14373.520007953806	15390.544743608056	730			
AL	AD	AL|c34540_g1	408891.0	20996.74	21932.65508288081	19473.346497387258	559	OG0000096	ejaculatory bulb-specific protein 3-like	True
AL	AD	AL|c33601_g2	383351.0	2728.08	2849.6822687000686	4238.234337799366	2408			
AL	AD	AL|c47784_g2	372718.34	892.17	931.9378572718322	1027.7165089361017	9655			
AL	AD	AL|c40667_g1	363862.0	2598.67	2714.5039079509424	4036.1779779603735	2400			
AL	AD	AL|c42394_g2	349907.0	1408.73	1471.523160019445	2297.2413245313937	4055			
AL	AD	AL|c27933_g1	333196.0	5434.32	5676.551034589218	7404.364823508148	1198			
AL	AD	AL|c42514_g2	322029.0	3987.46	4165.198256338075	5734.540689559899	1495			
AL	AD	AL|c6846_g1	317397.0	11315.16	11819.525387636822	12246.12180175034	690	OG0003606	probable salivary secreted peptide	True
AL	AD	AL|c41491_g1	295966.0	2277.81	2379.3417965996973	3508.1400198679535	2246	OG0000897	fructose-bisphosphate aldolase-like, transcript variant X1	True
AL	AD	AL|c34505_g2	277238.0	7397.13	7726.851925262212	8849.76125033234	834			
AL	AD	AL|c33590_g1	273211.0	1566.04	1635.845143864936	2485.814442822135	2926			
AL	AD	AL|c22613_g1	271457.0	2135.45	2230.6361986069182	3280.4346906362616	2203			
AL	AD	AL|c39798_g1	269504.0	1992.81	2081.6381198088707	3083.28507021588	2327	OG0000636	heat shock 70 kDa protein cognate 4	True
AL	AD	AL|c40735_g1	244375.0	721.69	753.8588298356912	1197.462488275857	5433			
AL	AD	AL|c41550_g1	233068.0	3316.1	3463.912851249339	4647.78715756983	1335			
AL	AD	AL|c22591_g1	229765.0	4314.08	4506.377115683408	5690.104693293654	1075			
AL	AD	AL|c79_g1	204656.0	1761.48	1839.9967459421264	2676.0335613025322	2036	OG0007764	lysosomal aspartic protease	True
AD	AL	AD|c34801_g1	14177610.0	28301.82	38254.04311799548	66065.06933772215	8446			
AD	AL	AD|c38187_g1	1704180.0	17055.09	23052.444974962513	35115.75769254282	1910	OG0000632	alpha-glucosidase, transcript variant X2	True
AD	AL	AD|c31513_g4	1164847.0	62736.97	84798.17748372327	78501.14387525622	584	OG0008948	uncharacterized LOC122712190	True
AD	AL	AD|c7597_g1	880438.0	43936.06	59386.00180747516	56992.16380168754	608			
AD	AL	AD|c36217_g2	849742.0	4336.66	5861.629344970969	9623.924832942299	3475			
AD	AL	AD|c34498_g1	748776.0	5843.16	7897.884114355418	12434.362278049124	2370			
AD	AL	AD|c42037_g8	623454.0	1326.32	1792.7151846863474	3076.374600600981	7976			
AD	AL	AD|c40680_g1	449026.0	3195.01	4318.522635732499	6871.008268461464	2572	OG0000897	fructose-bisphosphate aldolase, transcript variant X1	True
AD	AL	AD|c33346_g1	417256.0	3265.31	4413.543352816951	6727.516284347192	2441			
AD	AL	AD|c27993_g1	385216.0	1544.5	2087.6173191598286	3360.122981741457	4512			
AD	AL	AD|c20041_g2	381433.0	7300.34	9867.475700715613	13249.768810251584	1133			
AD	AL	AD|c29314_g2	377379.0	3606.23	4874.346523064907	7474.803992710046	1987			
AD	AL	AD|c40977_g1	301878.0	2229.05	3012.8866204423543	2806.0832865070483	4234			
AD	AL	AD|c31492_g1	269134.0	1948.92	2634.2500133745375	3979.059759861639	2662			
AD	AL	AD|c33573_g2	261786.0	1474.03	1992.3668222474344	3244.0375325073105	3176	OG0000219	paramyosin, long form-like	True
AD	AL	AD|c74529_g1	257364.0	2599.59	3513.7255465941726	5345.133175081024	1895	OG0001371	arrestin homolog	True
AD	AL	AD|c40837_g5	234663.0	1780.08	2406.0380948462466	3800.653624164076	2430	OG0000636	heat shock 70 kDa protein cognate 4	True
AD	AL	AD|c41030_g1	226409.0	764.06	1032.7386784572732	1743.4429964215797	5111			
AD	AL	AD|c7622_g1	204037.0	1646.63	2225.6609299113943	3489.8941707195295	2301			
AD	AL	AD|c40672_g2	190039.0	859.24	1161.3883491841314	1872.6414093047329	3994	OG0001126	2-oxoglutarate dehydrogenase, mitochondrial, transcript variant X3	True
AD	AL	AD|c42516_g1	179007.0	124.35	168.07718590969546	294.9363839891655	23887	OG0007706	twitchin, transcript variant X2	True
AD	AL	AD|c31104_g1	175739.0	1920.3	2595.5659035173967	3901.0306444072494	1773			
AD	AL	AD|c38951_g2	153936.0	1069.64	1445.7746774141272	2306.2164798069266	2627			
AD	AL	AD|c41880_g3	150465.0	481.37	650.6418575098521	881.2236885666829	6720			
AD	AL	AD|c41620_g1	149146.0	310.35	419.4833505997105	723.4300650756256	8114			
AD	AL	AD|c41045_g5	142893.0	1342.82	1815.0173444572358	2620.602694814799	2146			
AD	AL	AD|c35004_g1	139521.0	1053.46	1423.9050443781891	2250.451722329853	2440			
AD	AL	AD|c42494_g1	133234.0	164.08	221.7780833459014	357.8561322472985	14653	OG0006500	obscurin, transcript variant X3	True
AD	AL	AD|c40671_g5	131907.0	722.26	976.239873704356	1593.443650139415	3258	OG0007725	neurofilament heavy polypeptide	True
AD	AL	AD|c42059_g1	123170.0	657.76	889.058703690883	1127.868524532992	4298			
AD	AD	AD|c34801_g1	14177610.0	28301.82	38254.04311799548	66065.06933772215	8446			
AD	AD	AD|c38187_g1	1704180.0	17055.09	23052.444974962513	35115.75769254282	1910	OG0000632	alpha-glucosidase-like, transcript variant X1	True
AD	AD	AD|c31513_g4	1164847.0	62736.97	84798.17748372327	78501.14387525622	584	OG0008948	uncharacterized LOC102671016	True
AD	AD	AD|c7597_g1	880438.0	43936.06	59386.00180747516	56992.16380168754	608			
AD	AD	AD|c36217_g2	849742.0	4336.66	5861.629344970969	9623.924832942299	3475			
AD	AD	AD|c34498_g1	748776.0	5843.16	7897.884114355418	12434.362278049124	2370			
AD	AD	AD|c42037_g8	623454.0	1326.32	1792.7151846863474	3076.374600600981	7976			
AD	AD	AD|c40680_g1	449026.0	3195.01	4318.522635732499	6871.008268461464	2572	OG0000897	fructose-bisphosphate aldolase-like, transcript variant X1	True
AD	AD	AD|c33346_g1	417256.0	3265.31	4413.543352816951	6727.516284347192	2441			
AD	AD	AD|c27993_g1	385216.0	1544.5	2087.6173191598286	3360.122981741457	4512			
AD	AD	AD|c20041_g2	381433.0	7300.34	9867.475700715613	13249.768810251584	1133			
AD	AD	AD|c29314_g2	377379.0	3606.23	4874.346523064907	7474.803992710046	1987	OG0001143	rhodopsin, long-wavelength	True
AD	AD	AD|c40977_g1	301878.0	2229.05	3012.8866204423543	2806.0832865070483	4234			
AD	AD	AD|c31492_g1	269134.0	1948.92	2634.2500133745375	3979.059759861639	2662			
AD	AD	AD|c33573_g2	261786.0	1474.03	1992.3668222474344	3244.0375325073105	3176	OG0000219	paramyosin, long form-like	True
AD	AD	AD|c74529_g1	257364.0	2599.59	3513.7255465941726	5345.133175081024	1895	OG0001371	arrestin homolog	True
AD	AD	AD|c40837_g5	234663.0	1780.08	2406.0380948462466	3800.653624164076	2430	OG0000636	heat shock 70 kDa protein cognate 4	True
AD	AD	AD|c41030_g1	226409.0	764.06	1032.7386784572732	1743.4429964215797	5111			
AD	AD	AD|c7622_g1	204037.0	1646.63	2225.6609299113943	3489.8941707195295	2301			
AD	AD	AD|c40672_g2	190039.0	859.24	1161.3883491841314	1872.6414093047329	3994	OG0001126	2-oxoglutarate dehydrogenase, mitochondrial, transcript variant X2	True
AD	AD	AD|c42516_g1	179007.0	124.35	168.07718590969546	294.9363839891655	23887	OG0007706	twitchin	True
AD	AD	AD|c31104_g1	175739.0	1920.3	2595.5659035173967	3901.0306444072494	1773			
AD	AD	AD|c38951_g2	153936.0	1069.64	1445.7746774141272	2306.2164798069266	2627			
AD	AD	AD|c41880_g3	150465.0	481.37	650.6418575098521	881.2236885666829	6720			
AD	AD	AD|c41620_g1	149146.0	310.35	419.4833505997105	723.4300650756256	8114			
AD	AD	AD|c41045_g5	142893.0	1342.82	1815.0173444572358	2620.602694814799	2146			
AD	AD	AD|c35004_g1	139521.0	1053.46	1423.9050443781891	2250.451722329853	2440			
AD	AD	AD|c42494_g1	133234.0	164.08	221.7780833459014	357.8561322472985	14653	OG0006500	obscurin, transcript variant X6	True
AD	AD	AD|c40671_g5	131907.0	722.26	976.239873704356	1593.443650139415	3258			
AD	AD	AD|c42059_g1	123170.0	657.76	889.058703690883	1127.868524532992	4298			
