alignment_id	taxon	accession	unaligned_length_aa
Apis_cerana	Apis cerana	XP_016908863.1	1042
Apis_dorsata	Apis dorsata	XP_006620153.1	1042
Apis_florea	Apis florea	XP_086770648.1	1042
Apis_laboriosa	Apis laboriosa	XP_043802930.1	1042
Apis_mellifera	Apis mellifera	XP_016770040.1	1042
Bombus_terrestris	Bombus terrestris	XP_048265247.1	1044
external_KZC09527.1	Dufourea novaeangliae	KZC09527.1	1042
external_OAD61382.1	Eufriesea mexicana	OAD61382.1	1067
external_XP_017793857.1	Habropoda laboriosa	XP_017793857.1	1046
external_XP_024225097.1	Bombus impatiens	XP_024225097.1	1044
external_XP_031830511.1	Nomia melanderi	XP_031830511.1	1056
external_XP_033307208.1	Bombus bifarius	XP_033307208.1	1044
external_XP_033351717.1	Bombus vosnesenskii	XP_033351717.1	1044
external_XP_043591548.1	Bombus pyrosoma	XP_043591548.1	1044
external_XP_046142244.1	Osmia bicornis bicornis	XP_046142244.1	1023
external_XP_050475552.1	Bombus huntii	XP_050475552.1	1044
external_XP_050600501.1	Bombus affinis	XP_050600501.1	1044
external_XP_060818789.1	Bombus pascuorum	XP_060818789.1	1042
