species	accession	paired_accession	independent_unit	assembly_name	assembly_level	release_date	bioproject	biosample	location	collection_date	tissue	sample_title	sequencing_technology	assembled_nt	contig_n50	scaffold_n50
Apis dorsata	GCA_000469605.1	GCF_000469605.1	PRJNA174631:SAMN02954476	Apis dorsata 1.3	Scaffold	2013-09-24	PRJNA174631	SAMN02954476	Malaysia:Sabah,Tenom,Lagud Sebrang Agriculture Research Station	2007-02	not specified	Apis dorsata, adult male(s)	Illumina GAII	230340171	8422	732052
Apis dorsata	GCF_000469605.1	GCA_000469605.1	PRJNA174631:SAMN02954476	Apis dorsata 1.3	Scaffold	2013-09-24	PRJNA174631	SAMN02954476	Malaysia:Sabah,Tenom,Lagud Sebrang Agriculture Research Station	2007-02	not specified	Apis dorsata, adult male(s)	Illumina GAII	230340171	8422	732052
Apis dorsata	GCA_009792835.1		PRJNA577936:SAMN13065485	RUTG_Adors_1.0	Scaffold	2019-12-23	PRJNA577936	SAMN13065485	Thailand:Chiang Mai	2017-06	head and thorax	Pooled Apis dorsata drones from Chiang Mai, Thailand	Illumina NextSeq; Oxford Nanopore PromethION	223527749	30868	34588
Apis laboriosa	GCA_014066325.1	GCF_014066325.1	PRJNA647849:SAMN15599769	ASM1406632v1	Scaffold	2020-08-05	PRJNA647849	SAMN15599769			chest	Model organism or animal sample from Apis laboriosa	Illumina HiSeq	226063288	303790	3339770
Apis laboriosa	GCF_014066325.1	GCA_014066325.1	PRJNA647849:SAMN15599769	ASM1406632v1	Scaffold	2020-08-05	PRJNA647849	SAMN15599769			chest	Model organism or animal sample from Apis laboriosa	Illumina HiSeq	226063288	303790	3339770
