species	rank	unigene	length_nt	probe_hits	orientation	read_count	fpkm
Apis_laboriosa	1	AL|c47723_g1	8935	313	-	1738.0	5.57
Apis_dorsata	1	AD|c42352_g1	8939	302	+	1509.0	6.36
Apis_dorsata	2	AD|c42352_g2	319	5	+	3.0	1.03
