orthogroup	callable_sites	bombus_difference_fraction	candidate_any	candidate_core	is_para	candidate_categories	laboriosa_accession	laboriosa_gene	laboriosa_description	hits_Apis_laboriosa	hits_Apis_dorsata	hits_Apis_mellifera	hits_Apis_cerana	hits_Apis_florea	bombus_difference_fraction_Apis_laboriosa	bombus_difference_fraction_Apis_dorsata	bombus_difference_fraction_Apis_mellifera	bombus_difference_fraction_Apis_cerana	bombus_difference_fraction_Apis_florea
OG0000452	501	0.25349301397205587	True	False	False	cytochrome_P450	XP_043800880.1	LOC122719280	XP_043800880.1 cytochrome P450 6k1-like [Apis laboriosa]	0	0	3	3	2	0.25349301397205587	0.25349301397205587	0.2634730538922156	0.25948103792415167	0.25748502994011974
OG0000453	493	0.09127789046653144	True	False	False	cytochrome_P450	XP_043793129.1	LOC122715206	XP_043793129.1 probable cytochrome P450 6a13 [Apis laboriosa]	0	0	0	1	0	0.09127789046653144	0.09330628803245436	0.09533468559837728	0.09127789046653144	0.09939148073022312
OG0000454	507	0.28007889546351084	True	False	False	cytochrome_P450	XP_043785180.1	LOC122710966	XP_043785180.1 cytochrome P450 9e2-like [Apis laboriosa]	1	1	3	1	9	0.28007889546351084	0.28205128205128205	0.28402366863905326	0.2859960552268245	0.26627218934911245
OG0000455	530	0.31886792452830187	True	False	False	cytochrome_P450	XP_043785760.1	LOC122711253	XP_043785760.1 uncharacterized protein LOC122711253 [Apis laboriosa]	0	0	3	0	5	0.31886792452830187	0.32075471698113206	0.3283018867924528	0.32452830188679244	0.32452830188679244
OG0000456	497	0.3199195171026157	True	False	False	cytochrome_P450	XP_043787431.1	LOC122712120	XP_043787431.1 uncharacterized protein LOC122712120 [Apis laboriosa]	1	1	2	2	2	0.3199195171026157	0.3199195171026157	0.323943661971831	0.323943661971831	0.3299798792756539
OG0000457	394	0.21065989847715735	False	False	False		XP_043803310.1	LOC122720585	XP_043803310.1 odorant receptor 22c-like [Apis laboriosa]	0	0	1	0	2	0.21065989847715735	0.21065989847715735	0.2182741116751269	0.23096446700507614	0.21065989847715735
OG0000458	103	0.24271844660194175	False	False	False		XP_043792798.1	LOC122715003	XP_043792798.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]	0	0	0	1	1	0.24271844660194175	0.24271844660194175	0.2621359223300971	0.2815533980582524	0.24271844660194175
OG0000459	625	0.0912	False	False	False		XP_043792702.1	LOC122714951	XP_043792702.1 glucose dehydrogenase [FAD, quinone] [Apis laboriosa]	0	0	0	0	3	0.0912	0.0896	0.0896	0.0944	0.112
OG0000460	144	0.18055555555555555	False	False	False		XP_043792811.1	LOC122715009	XP_043792811.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]	0	1	0	0	1	0.18055555555555555	0.1388888888888889	0.1597222222222222	0.1388888888888889	0.14583333333333334
OG0000461	630	0.2841269841269841	False	False	False		XP_043792632.1	LOC122714913	XP_043792632.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]	0	0	3	2	3	0.2841269841269841	0.2857142857142857	0.28253968253968254	0.2841269841269841	0.27936507936507937
OG0000462	634	0.17350157728706625	False	False	False		XP_043792646.1	LOC122714921	XP_043792646.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]	1	1	0	3	12	0.17350157728706625	0.1719242902208202	0.17823343848580442	0.17034700315457413	0.1608832807570978
OG0000463	598	0.03511705685618729	False	False	False		XP_043788401.1	LOC122712655	XP_043788401.1 glucose dehydrogenase [FAD, quinone]-like isoform X1 [Apis laboriosa]	0	0	2	0	1	0.03511705685618729	0.038461538461538464	0.03678929765886288	0.03678929765886288	0.033444816053511704
OG0000464	613	0.21207177814029363	False	False	False		XP_043793360.1	LOC122715324	XP_043793360.1 glucose dehydrogenase [FAD, quinone]-like isoform X1 [Apis laboriosa]	0	0	1	7	2	0.21207177814029363	0.21044045676998369	0.233278955954323	0.233278955954323	0.2267536704730832
OG0000465	449	0.31403118040089084	False	False	False		XP_043793363.1	LOC122715325	XP_043793363.1 glucose dehydrogenase [FAD, quinone]-like [Apis laboriosa]	1	0	1	2	5	0.31403118040089084	0.311804008908686	0.32293986636971045	0.311804008908686	0.31625835189309576
OG0000466	395	0.3265822784810127	False	False	False		XP_043803282.1	LOC122720563	XP_043803282.1 uncharacterized protein LOC122720563 [Apis laboriosa]	2	1	0	2	3	0.3265822784810127	0.3341772151898734	0.33164556962025316	0.3367088607594937	0.3265822784810127
OG0000467	4237	0.18385650224215247	False	False	False		XP_043790709.1	LOC122713934	XP_043790709.1 dynein axonemal heavy chain 2 [Apis laboriosa]	1	4	7	4	28	0.18385650224215247	0.17630398867122965	0.1722917158366769	0.17299976398395092	0.1734717960821336
OG0000468	4033	0.16612943218447807	False	False	False		XP_043784550.1	LOC122710636	XP_043784550.1 dynein axonemal heavy chain 6 [Apis laboriosa]	1	2	5	11	21	0.16612943218447807	0.16563352343168858	0.16910488470121499	0.1646417059261096	0.168113067195636
OG0000469	2459	0.20862139080927206	False	False	False		XP_043792634.1	LOC122714917	XP_043792634.1 dynein axonemal heavy chain 7-like [Apis laboriosa]	0	1	4	5	15	0.20862139080927206	0.21268808458723057	0.21146807645384302	0.2135014233428223	0.20984139894265963
OG0000470	3643	0.1636014273950041	False	False	False		XP_043798338.1	LOC122717898	XP_043798338.1 dynein axonemal heavy chain 7 [Apis laboriosa]	5	0	16	5	23	0.1636014273950041	0.1652484216305243	0.1636014273950041	0.16195443315948393	0.16634641778753775
