species	protein	gene	reason
AL	XP_043784435.1	LOC122710577	no_exact_CDS
AL	XP_043784840.1	LOC122710793	no_exact_CDS
AL	XP_043785125.1	LOC122710929	no_exact_CDS
AL	XP_043785652.1	LOC122711188	no_exact_CDS
AL	XP_043785746.1	LOC122711240	no_exact_CDS
AL	XP_043785754.1	LOC122711248	no_exact_CDS
AL	XP_043786081.1	LOC122711394	no_exact_CDS
AL	XP_043786920.1	LOC122711851	no_exact_CDS
AL	XP_043787154.1	LOC122711976	no_exact_CDS
AL	XP_043787158.1	LOC122711982	no_exact_CDS
AL	XP_043787589.1	LOC122712208	no_exact_CDS
AL	XP_043787775.1	LOC122712305	no_exact_CDS
AL	XP_043788045.1	LOC122712425	no_exact_CDS
AL	XP_043788696.1	LOC122712829	no_exact_CDS
AL	XP_043789790.1	LOC122713422	no_exact_CDS
AL	XP_043789860.1	LOC122713457	no_exact_CDS
AL	XP_043790405.1	LOC122713740	no_exact_CDS
AL	XP_043790502.1	LOC122713791	no_exact_CDS
AL	XP_043790712.1	LOC122713937	no_exact_CDS
AL	XP_043791039.1	LOC122714082	no_exact_CDS
AL	XP_043791918.1	LOC122714554	no_exact_CDS
AL	XP_043793349.1	LOC122715318	no_exact_CDS
AL	XP_043793687.1	LOC122715507	no_exact_CDS
AL	XP_043793695.1	LOC122715512	no_exact_CDS
AL	XP_043793729.1	LOC122715526	no_exact_CDS
AL	XP_043793755.1	LOC122715550	no_exact_CDS
AL	XP_043793842.1	LOC122715605	no_exact_CDS
AL	XP_043793984.1	LOC122715676	no_exact_CDS
AL	XP_043794406.1	LOC122715900	no_exact_CDS
AL	XP_043794463.1	LOC122715931	no_exact_CDS
AL	XP_043794652.1	LOC122716033	no_exact_CDS
AL	XP_043794861.1	LOC122716137	no_exact_CDS
AL	XP_043795019.1	LOC122716208	no_exact_CDS
AL	XP_043795945.1	LOC122716685	no_exact_CDS
AL	XP_043796074.1	LOC122716766	no_exact_CDS
AL	XP_043796123.1	LOC122716792	no_exact_CDS
AL	XP_043796698.1	LOC122717061	no_exact_CDS
AL	XP_043796821.1	LOC122717126	no_exact_CDS
AL	XP_043797083.1	LOC122717258	no_exact_CDS
AL	XP_043797147.1	LOC122717291	no_exact_CDS
AL	XP_043797721.1	LOC122717568	no_exact_CDS
AL	XP_043797725.1	LOC122717572	no_exact_CDS
AL	XP_043798106.1	LOC122717779	no_exact_CDS
AL	XP_043798206.1	LOC122717829	no_exact_CDS
AL	XP_043798313.1	LOC122717887	no_exact_CDS
AL	XP_043798355.1	LOC122717906	no_exact_CDS
AL	XP_043798664.1	LOC122718055	no_exact_CDS
AL	XP_043799060.1	LOC122718244	no_exact_CDS
AL	XP_043799128.1	LOC122718293	no_exact_CDS
AL	XP_043799299.1	LOC122718378	no_exact_CDS
AL	XP_043799358.1	LOC122718409	no_exact_CDS
AL	XP_043799653.1	LOC122718583	no_exact_CDS
