category	species	gene_parent	product
cytochrome_P450	Apis_laboriosa	gene-LOC122717567	cytochrome P450 18a1
cytochrome_P450	Apis_laboriosa	gene-LOC122717599	cytochrome P450 302a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122720345	cytochrome P450 306a1
cytochrome_P450	Apis_laboriosa	gene-LOC122711037	cytochrome P450 307a1-like
cytochrome_P450	Apis_laboriosa	gene-LOC122712384	cytochrome P450 315a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122716271	cytochrome P450 4C1-like
cytochrome_P450	Apis_laboriosa	gene-LOC122715191	cytochrome P450 4c3-like
cytochrome_P450	Apis_laboriosa	gene-LOC122711712	cytochrome P450 4g15
cytochrome_P450	Apis_laboriosa	gene-LOC122718621	cytochrome P450 6a9-like
cytochrome_P450	Apis_laboriosa	gene-LOC122716422	cytochrome P450 6k1-like
cytochrome_P450	Apis_laboriosa	gene-LOC122721014	cytochrome P450 6k1-like
cytochrome_P450	Apis_laboriosa	gene-LOC122719280	cytochrome P450 6k1-like, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122710962	cytochrome P450 9e2-like
cytochrome_P450	Apis_laboriosa	gene-LOC122710964	cytochrome P450 9e2-like
cytochrome_P450	Apis_laboriosa	gene-LOC122710965	cytochrome P450 9e2-like
cytochrome_P450	Apis_laboriosa	gene-LOC122710966	cytochrome P450 9e2-like
cytochrome_P450	Apis_laboriosa	gene-LOC122719736	cytochrome P450 9e2-like
cytochrome_P450	Apis_laboriosa	gene-LOC122710963	cytochrome P450 9e2-like, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122717272	NADPH--cytochrome P450 reductase, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122713465	probable cytochrome P450 12a5, mitochondrial, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122718756	probable cytochrome P450 301a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122710674	probable cytochrome P450 304a1
cytochrome_P450	Apis_laboriosa	gene-LOC122721170	probable cytochrome P450 305a1
cytochrome_P450	Apis_laboriosa	gene-LOC122718757	probable cytochrome P450 49a1, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122719679	probable cytochrome P450 4aa1, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122712182	probable cytochrome P450 6a13
cytochrome_P450	Apis_laboriosa	gene-LOC122712183	probable cytochrome P450 6a13
cytochrome_P450	Apis_laboriosa	gene-LOC122715206	probable cytochrome P450 6a13
cytochrome_P450	Apis_laboriosa	gene-LOC122712185	probable cytochrome P450 6a14
cytochrome_P450	Apis_laboriosa	gene-LOC122712186	probable cytochrome P450 6a14
cytochrome_P450	Apis_laboriosa	gene-LOC122719533	probable cytochrome P450 6a14
cytochrome_P450	Apis_laboriosa	gene-LOC122712180	probable cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122712184	probable cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_laboriosa	gene-LOC122715570	probable cytochrome P450 6a14, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102673424	cytochrome P450 18a1, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102676488	cytochrome P450 302a1, mitochondrial
cytochrome_P450	Apis_dorsata	gene-LOC102674219	cytochrome P450 306a1
cytochrome_P450	Apis_dorsata	gene-LOC102680693	cytochrome P450 307a1-like
cytochrome_P450	Apis_dorsata	gene-LOC102671068	cytochrome P450 315a1, mitochondrial, transcript variant X1
cytochrome_P450	Apis_dorsata	gene-LOC102670848	cytochrome P450 4C1-like
