relative_path	accession_or_dataset	source_url	size_bytes	sha256
genomes/apis_laboriosa/GCF_014066325.1_genomic.fna.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_genomic.fna.gz	71006392	8f56eb06bdf8f0d42da8221e887ec3e9f4ee689ef0c9061306107f9bbe55c12d
genomes/apis_laboriosa/refseq/GCF_014066325.1_genomic.gff.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_genomic.gff.gz	5318011	1e9b87bf66e4b123f1243c9f3132c3785815a22799547725fe33db3f1d3a005c
genomes/apis_laboriosa/refseq/GCF_014066325.1_protein.faa.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_protein.faa.gz	4488306	80706f78c0c02fb857b6c1f73100feb36e16942ab72cca07f031d8f4c50e2fce
genomes/apis_laboriosa/refseq/GCF_014066325.1_rna.fna.gz	GCF_014066325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_rna.fna.gz	12986408	76993ded3cb4c1964489c50bd3130606a863812a8e205710508e8cc96b2e95e3
references/GCF_014066325.1_gene_ontology.gaf.gz	GCF_014066325.1 GO annotation	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/066/325/GCF_014066325.1_ASM1406632v1/GCF_014066325.1_ASM1406632v1_gene_ontology.gaf.gz	376799	368bb34b0d980a2db86ec48baf7ce69956a6ebf029bba5424e06576fb378f51f
genomes/apis_laboriosa/eastern_yunnan/GWHAOTM00000000.genome.fasta.gz	GWHAOTM00000000	https://download.cncb.ac.cn/gwh/Animals/Apis_laboriosa_A.laboriosa_scaffold_GWHAOTM00000000/GWHAOTM00000000.genome.fasta.gz	66476211	2d7bdb45a4212d39ec3a735aa9ab3e63bfc6ef775a90adad231289548b4e4031
genomes/apis_dorsata/GCF_000469605.1_genomic.gff.gz	GCF_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3/GCF_000469605.1_Apis_dorsata_1.3_genomic.gff.gz	5392858	b2ef8b4fdf4b12762e5daca283e641f18adf4c8c802c92873eb7ce305476c46a
genomes/apis_dorsata/GCF_000469605.1_protein.faa.gz	GCF_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3/GCF_000469605.1_Apis_dorsata_1.3_protein.faa.gz	5110224	943bb986d54967be4406393ad0a07b6596809a258a86fc29818dc534199c5b50
genomes/apis_dorsata/GCF_000469605.1_rna.fna.gz	GCF_000469605.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/469/605/GCF_000469605.1_Apis_dorsata_1.3/GCF_000469605.1_Apis_dorsata_1.3_rna.fna.gz	12460189	665ee072e9d982237beed3df5149b920a0664a1beb484c9d9eea660d3ff3cedc
genomes/apis_mellifera/GCF_003254395.2_genomic.gff.gz	GCF_003254395.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/254/395/GCF_003254395.2_Amel_HAv3.1/GCF_003254395.2_Amel_HAv3.1_genomic.gff.gz	6756366	79dc8b0cf1af584179887d9daa600be8c10e874f2f2f68b822af3a44b8ad4ba3
