Orthogroup	Apis_cerana	Apis_dorsata	Apis_florea	Apis_laboriosa	Apis_mellifera	Bombus_terrestris
OG0000000	XP_016905411.2		XP_086772606.1			XP_003402154.2, XP_012167635.2, XP_012171986.2, XP_012171987.2, XP_012171988.1, XP_012174218.2, XP_012174418.1, XP_012174527.2, XP_012174538.2, XP_012174539.2, XP_012174868.1, XP_012174870.2, XP_012174900.2, XP_012175517.2, XP_012175530.3, XP_012175814.2, XP_012176290.1, XP_020723960.2, XP_048260702.1, XP_048261439.1, XP_048261532.1, XP_048261808.1, XP_048261969.1, XP_048261980.1, XP_048262499.1, XP_048262528.1, XP_048262969.1, XP_048263147.1, XP_048263409.1, XP_048263589.1, XP_048263590.1, XP_048263591.1, XP_048264420.1, XP_048266671.1, XP_048267485.1, XP_048268301.1, XP_048268720.1, XP_048269142.1, XP_048269306.1, XP_048269307.1, XP_048269544.1, XP_048269568.1, XP_048269593.1, XP_048269626.1, XP_048269627.1, XP_048269628.1, XP_048269637.1, XP_048269638.1, XP_048269640.1, XP_048269748.1, XP_048269845.1, XP_048269846.1, XP_048269848.1, XP_048269850.1, XP_048269851.1, XP_048269856.1, XP_048269858.1, XP_048269860.1, XP_048270060.1, XP_048270084.1, XP_048270097.1, XP_048270101.1, XP_048270102.1, XP_048270103.1, XP_048270104.1, XP_048270106.1, XP_048270107.1, XP_048270109.1, XP_048270111.1, XP_048270112.1, XP_048270117.1, XP_048270121.1, XP_048270126.1, XP_048270127.1, XP_048270135.1, XP_048270137.1, XP_048270227.1, XP_048270238.1, XP_048270239.1, XP_048270696.1
OG0000001	XP_028522099.2, XP_028522104.1, XP_061929853.1, XP_061929858.1, XP_061929862.1, XP_061929863.1, XP_061929864.1, XP_061929865.1, XP_061939493.1, XP_061939972.1, XP_061939973.1, XP_061939974.1, XP_061940018.1, XP_061940021.1, XP_061940023.1	XP_006610293.1, XP_006622864.2, XP_006622866.1, XP_031369706.1, XP_031369710.1, XP_031371312.1, XP_031371314.1, XP_031371315.1	XP_031773267.2, XP_031773269.2, XP_031773293.2, XP_031776166.2, XP_086759344.1, XP_086759346.1, XP_086759347.1, XP_086759348.1, XP_086759349.1, XP_086759350.1, XP_086766161.1, XP_086768624.1, XP_086769247.1, XP_086769287.1, XP_086769298.1, XP_086769316.1, XP_086769330.1	XP_043788199.1, XP_043788200.1, XP_043788202.1, XP_043788203.1, XP_043788204.1, XP_043788205.1, XP_043788206.1, XP_043788207.1, XP_043788208.1, XP_043797727.1, XP_043797728.1, XP_043797750.1, XP_043797752.1, XP_043797756.1, XP_043797766.1, XP_043797767.1, XP_043797768.1	XP_006562027.2, XP_006562033.1, XP_016767059.1, XP_016772777.2, XP_026296276.1, XP_026296277.1, XP_026296278.1, XP_026300304.1, XP_026300418.1, XP_026300431.1, XP_026300464.1, XP_026300465.1, XP_026300491.1, XP_026300504.1, XP_026300571.1	XP_048260775.1
OG0000002	NP_001315408.1, XP_016911088.1, XP_016911095.1, XP_061937079.1, XP_061937080.1, XP_061937298.1, XP_061937299.1, XP_061937303.1, XP_061937306.1	XP_006616416.1, XP_006616420.1, XP_006619919.1, XP_031366632.1, XP_031366638.1, XP_031366639.1	XP_003695156.2, XP_003695157.2, XP_003695161.3, XP_012344030.2, XP_012344032.1, XP_012344034.2, XP_086767656.1, XP_086770658.1, XP_086770697.1, XP_086770718.1, XP_086770727.1	XP_043784566.1, XP_043784567.1, XP_043784569.1, XP_043784570.1, XP_043784588.1, XP_043784589.1, XP_043784590.1, XP_043784675.1, XP_043784699.1	NP_001011564.1, NP_001011579.1, NP_001011580.1, NP_001011599.1, NP_001011601.1, NP_001011610.1, NP_001011622.1, NP_001014429.1, NP_001019868.1	XP_048263190.1
OG0000003	XP_016910285.3, XP_016910423.1, XP_016910451.2, XP_061927036.1, XP_061927037.1, XP_061927047.1, XP_061927048.1, XP_061927050.1, XP_061927965.1	XP_006615236.1, XP_006615237.1, XP_006615238.1, XP_006615240.1, XP_006615242.1, XP_006615243.1, XP_031366087.1	XP_003691287.1, XP_003691288.1, XP_003691293.1, XP_003691469.2, XP_031770820.1, XP_031770824.1, XP_031770826.2, XP_086771267.1, XP_086771270.1, XP_086771291.1	XP_043803266.1, XP_043803269.1, XP_043803272.1, XP_043803275.1, XP_043803277.1, XP_043803278.1, XP_043803279.1	NP_001229902.1, XP_003250750.1, XP_003250751.1, XP_003250754.2, XP_006565886.1, XP_006565953.2, XP_006565958.1, XP_016773534.1, XP_016773535.1, XP_016773539.1, XP_026294766.1	
OG0000004	XP_016916210.2	XP_006620608.1	XP_003697885.1	XP_043784684.1	XP_026301522.1	XP_048260247.1, XP_048260248.1, XP_048260420.1, XP_048260423.1, XP_048260426.1, XP_048260572.1, XP_048260577.1, XP_048260598.1, XP_048260601.1, XP_048260632.1, XP_048260645.1, XP_048260890.1, XP_048260892.1, XP_048260902.1, XP_048260903.1, XP_048261031.1, XP_048261032.1, XP_048261033.1, XP_048261034.1, XP_048261047.1, XP_048261048.1, XP_048261347.1, XP_048261352.1, XP_048261356.1, XP_048261361.1, XP_048261470.1, XP_048270130.1, XP_048270134.1, XP_048270557.1, XP_048270559.1, XP_048270628.1, XP_048270692.1, XP_048270694.1
OG0000005	XP_016916883.1, XP_016916884.2, XP_016916885.1, XP_061941405.1, XP_061941406.1, XP_061941407.1, XP_061941408.1	XP_006609097.1, XP_006609098.1, XP_006609099.2, XP_006609100.1, XP_006609101.1, XP_006609102.1	XP_003695913.3, XP_012344854.2, XP_012345075.2, XP_031773734.1, XP_086758872.1, XP_086758874.1, XP_086758875.1, XP_086758876.1	XP_043790389.1, XP_043790390.1, XP_043790392.1, XP_043790393.1, XP_043790657.1, XP_043801671.1	NP_001035295.1, NP_001035296.1, NP_001035297.1, NP_001035298.1, NP_001035299.1, NP_001035313.1, NP_001035317.1	
OG0000006	XP_061940188.1, XP_061941107.1, XP_061941109.1, XP_061941121.1, XP_061941132.1, XP_061942223.1, XP_061942788.1	XP_006624557.2, XP_031368097.1, XP_031368098.1, XP_031368099.1, XP_031370445.1, XP_031370446.1, XP_031370447.1, XP_031370449.1, XP_031370450.1	XP_012348635.3, XP_031775575.1, XP_086770201.1, XP_086770203.1, XP_086770661.1, XP_086770662.1, XP_086770663.1, XP_086770664.1, XP_086770665.1	XP_043791128.1, XP_043793737.1, XP_043793738.1, XP_043793739.1, XP_043793809.1	XP_026301764.1, XP_026301776.1, XP_026301777.1, XP_026301778.1	
OG0000007	XP_016919496.1, XP_016919503.1, XP_016919506.2, XP_061937642.1, XP_061937643.1, XP_061937645.1, XP_061937866.1	XP_006608022.2, XP_006608023.2, XP_006608025.2, XP_006608026.1, XP_006625218.2, XP_031366379.1	XP_031776481.2, XP_086768480.1, XP_086768659.1, XP_086768662.1, XP_086768663.1, XP_086768699.1, XP_086768715.1	XP_043801520.1, XP_043801525.1, XP_043801526.1, XP_043801527.1, XP_043801528.1, XP_043801529.1	XP_016770795.1, XP_016770799.1, XP_016770806.2, XP_026299638.1	XP_012168805.1, XP_048265853.1
OG0000008	XP_016906126.2, XP_016907325.1, XP_016907326.2, XP_016914497.2, XP_028521143.2	XP_006608741.1, XP_031369714.1, XP_031369718.1, XP_031369724.1, XP_031369741.1	XP_003697554.2, XP_031771812.1, XP_031775019.2, XP_031775020.2, XP_086769299.1, XP_086769491.1	XP_043792691.1, XP_043795907.1, XP_043799761.1, XP_043799762.1, XP_043799764.1, XP_043799765.1	XP_003250569.2, XP_003251148.1, XP_006565513.1, XP_006568008.2, XP_392145.3, XP_394210.5	XP_012168741.2
OG0000009	XP_061939986.1, XP_061939988.1, XP_061940001.1, XP_061940002.1, XP_061940004.1, XP_061940005.1	XP_006622870.1, XP_006622878.2, XP_031369703.1, XP_031369704.1, XP_031369705.1	XP_086768619.1, XP_086769071.1, XP_086769078.1, XP_086769088.1, XP_086769112.1	XP_043797655.1, XP_043797658.1, XP_043797713.1, XP_043797784.1, XP_043797813.1	XP_001122575.3, XP_006572097.2, XP_016772838.2, XP_026300396.1, XP_026300397.1, XP_026300402.1, XP_026300405.1	XP_012168914.1
