sample	read_id	orthogroup	best_reference	score	target_start	target_end	matched_bases	aligned_bases
AL	SRR9034695.402	OG0001109	AL|XP_043794209.1	262	0	141	139	141
AL	SRR9034695.634	OG0001109	AL|XP_043794209.1	244	1	138	134	137
AL	SRR9034695.1026	OG0001109	AL|XP_043794209.1	270	117	267	147	150
AL	SRR9034695.1098	OG0001109	AL|XP_043794209.1	276	0	138	138	138
AL	SRR9034695.1480	OG0001109	AL|XP_043794209.1	216	0	133	128	133
AL	SRR9034695.2923	OG0001109	AL|XP_043794209.1	220	84	234	142	150
AL	SRR9034695.3337	OG0001109	AL|XP_043794209.1	224	0	122	120	122
AL	SRR9034695.3718	OG0001109	AL|XP_043794209.1	250	0	145	141	145
AL	SRR9034695.5898	OG0001109	AL|XP_043794209.1	246	0	145	140	145
AL	SRR9034695.6127	OG0001109	AL|XP_043794209.1	230	0	145	139	145
AL	SRR9034695.6604	OG0001109	AL|XP_043794209.1	150	0	139	126	139
AL	SRR9034695.6912	OG0001109	AL|XP_043794209.1	256	91	241	145	150
AL	SRR9034695.7001	OG0001109	AL|XP_043794209.1	186	33	166	125	133
AL	SRR9034695.7917	OG0001109	AL|XP_043794209.1	238	113	252	135	139
AL	SRR9034695.7939	OG0001109	AL|XP_043794209.1	272	18	168	147	150
AL	SRR9034695.8941	OG0001109	AL|XP_043794209.1	250	97	247	145	150
AL	SRR9034695.9192	OG0001109	AL|XP_043794209.1	220	97	242	138	145
AL	SRR9034695.10633	OG0001109	AL|XP_043794209.1	300	4	154	150	150
AL	SRR9034695.10983	OG0001109	AL|XP_043794209.1	290	4	154	149	150
AL	SRR9034695.11683	OG0001109	AL|XP_043794209.1	254	0	132	131	132
AL	SRR9034695.12554	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.12658	OG0001109	AL|XP_043794209.1	270	94	244	147	150
AL	SRR9034695.12904	OG0001109	AL|XP_043794209.1	286	0	145	144	145
AL	SRR9034695.13879	OG0001109	AL|XP_043794209.1	282	13	163	148	150
AL	SRR9034695.13886	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.14860	OG0001109	AL|XP_043794209.1	250	92	242	145	150
AL	SRR9034695.15555	OG0001109	AL|XP_043794209.1	280	4	154	148	150
AL	SRR9034695.16310	OG0001109	AL|XP_043794209.1	272	0	146	144	146
AL	SRR9034695.16989	OG0001109	AL|XP_043794209.1	256	13	163	145	150
AL	SRR9034695.18212	OG0001109	AL|XP_043794209.1	252	7	153	142	146
AL	SRR9034695.18341	OG0001109	AL|XP_043794209.1	268	0	139	138	139
AL	SRR9034695.20983	OG0001109	AL|XP_043794209.1	240	183	303	120	120
AL	SRR9034695.21492	OG0001109	AL|XP_043794209.1	292	157	303	146	146
AL	SRR9034695.21739	OG0001109	AL|XP_043794209.1	290	9	154	145	145
AL	SRR9034695.21888	OG0001109	AL|XP_043794209.1	234	181	303	121	122
AL	SRR9034695.21915	OG0001109	AL|XP_043794209.1	300	1	151	150	150
AL	SRR9034695.22378	OG0001109	AL|XP_043794209.1	292	0	146	146	146
AL	SRR9034695.22511	OG0001109	AL|XP_043794209.1	286	66	216	148	150
AL	SRR9034695.22984	OG0001109	AL|XP_043794209.1	290	38	188	149	150
AL	SRR9034695.23233	OG0001109	AL|XP_043794209.1	272	167	303	136	136
AL	SRR9034695.24563	OG0001109	AL|XP_043794209.1	254	176	303	127	127
AL	SRR9034695.27941	OG0001109	AL|XP_043794209.1	286	92	242	148	150
AL	SRR9034695.27949	OG0001109	AL|XP_043794209.1	242	52	202	144	150
AL	SRR9034695.28161	OG0001109	AL|XP_043794209.1	262	0	141	139	141
