sample	reference	start_zero_based	end_exclusive	mean_alignment_span_depth	bases_with_alignment_span_coverage
AL	OR496406.1	0	1000	2.739	957
AL	OR496406.1	1000	2000	2.098	834
AL	OR496406.1	2000	3000	2.514	999
AL	OR496406.1	3000	4000	2.483	943
AL	OR496406.1	4000	5000	2.263	844
AL	OR496406.1	5000	6000	2.484	953
AL	OR496406.1	6000	7000	4.605	994
AL	OR496406.1	7000	8000	3.895	1000
AL	OR496406.1	8000	8440	8.65	429
AD	OR496406.1	0	1000	6573.842	1000
AD	OR496406.1	1000	2000	6946.981	1000
AD	OR496406.1	2000	3000	6763.321	1000
AD	OR496406.1	3000	4000	8516.716	1000
AD	OR496406.1	4000	5000	7615.182	1000
AD	OR496406.1	5000	6000	11079.667	1000
AD	OR496406.1	6000	7000	12517.266	1000
AD	OR496406.1	7000	8000	16028.48	1000
AD	OR496406.1	8000	8440	19093.68181818182	440
