reference_id	species	protein	gene	group	transcript	cds_start_zero_based	cds_length	product
AL|XP_043783978.1	AL	XP_043783978.1	LOC122710292	OG0007530	XM_043928043.1	303	3843	XP_043783978.1 ubiquitin carboxyl-terminal hydrolase 47 isoform X1 [Apis laboriosa]
AL|XP_043783983.1	AL	XP_043783983.1	LOC122710294	OG0007288	XM_043928048.1	604	813	XP_043783983.1 syntaxin-7 [Apis laboriosa]
AL|XP_043783985.1	AL	XP_043783985.1	LOC122710295	OG0000235	XM_043928050.1	98	669	XP_043783985.1 NADH-quinone oxidoreductase subunit B 2-like [Apis laboriosa]
AL|XP_043783986.1	AL	XP_043783986.1	LOC122710293	OG0000727	XM_043928051.1	224	966	XP_043783986.1 sodium/potassium-transporting ATPase subunit beta-2-like [Apis laboriosa]
AL|XP_043783987.1	AL	XP_043783987.1	LOC122710296	OG0004343	XM_043928052.1	521	1479	XP_043783987.1 forkhead box protein E1-like [Apis laboriosa]
AL|XP_043783988.1	AL	XP_043783988.1	LOC122710299	OG0004372	XM_043928053.1	0	6816	XP_043783988.1 uncharacterized protein LOC122710299 [Apis laboriosa]
AL|XP_043783989.1	AL	XP_043783989.1	LOC122710300	OG0008782	XM_043928054.1	0	996	XP_043783989.1 ADP,ATP carrier protein-like [Apis laboriosa]
AL|XP_043783990.1	AL	XP_043783990.1	LOC122710302	OG0006417	XM_043928055.1	1	1728	XP_043783990.1 glutamate receptor ionotropic, NMDA 2B-like, partial [Apis laboriosa]
AL|XP_043783991.1	AL	XP_043783991.1	LOC122710303	OG0007435	XM_043928056.1	285	3117	XP_043783991.1 hamartin [Apis laboriosa]
AL|XP_043783992.1	AL	XP_043783992.1	LOC122710305	OG0007255	XM_043928057.1	0	1776	XP_043783992.1 major facilitator superfamily domain-containing protein 6 isoform X1 [Apis laboriosa]
AL|XP_043783994.1	AL	XP_043783994.1	LOC122710306	OG0001209	XM_043928059.1	0	1569	XP_043783994.1 uncharacterized protein LOC122710306 [Apis laboriosa]
AL|XP_043783995.1	AL	XP_043783995.1	LOC122710307	OG0004412	XM_043928060.1	1	8322	XP_043783995.1 small subunit processome component 20 homolog [Apis laboriosa]
AL|XP_043783996.1	AL	XP_043783996.1	LOC122710308	OG0006391	XM_043928061.1	104	825	XP_043783996.1 negative elongation factor E [Apis laboriosa]
AL|XP_043783997.1	AL	XP_043783997.1	LOC122710309	OG0004360	XM_043928062.1	120	582	XP_043783997.1 uncharacterized protein CG1161 [Apis laboriosa]
AL|XP_043783998.1	AL	XP_043783998.1	LOC122710310	OG0009425	XM_043928063.1	135	951	XP_043783998.1 abasic site processing protein HMCES [Apis laboriosa]
AL|XP_043783999.1	AL	XP_043783999.1	LOC122710312	OG0004373	XM_043928064.1	868	4191	XP_043783999.1 rootletin isoform X1 [Apis laboriosa]
